Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgB-10,1227887,relaxation,-4.379353,-3.457
AgB-10,325969,standard,-4.379353,-3.399
AgB-10,325969,relaxation,-4.379353,-3.398
AgB-10,304885,standard,-4.379353,-3.356
AgB-10,304885,relaxation,-4.379353,-3.356
AgB-10,1104071,relaxation,-4.379353,-3.347
AgB-10,1218207,relaxation,-4.379353,-3.311
AgB-10,336427,standard,-4.379353,-3.356
AgB-10,336427,relaxation,-4.379353,-3.226
CrB-30,1106588,relaxation,-8.427736875,-8.146
CrB-30,1234828,relaxation,-8.427736875,-8.145
CrB-30,307403,standard,-8.427736875,-7.968
CrB-30,307403,relaxation,-8.427736875,-7.966
CrB-30,338945,standard,-8.427736875,-7.962
CrB-30,338945,relaxation,-8.427736875,-7.958
CrB-30,1228216,relaxation,-8.427736875,-7.938
CrB-30,1224730,relaxation,-8.427736875,-7.843
CrB-30,1218537,relaxation,-8.427736875,-7.056
HgB-26,1218550,relaxation,-2.878543,-2.017
HgB-26,1105469,relaxation,-2.878543,-2.01
HgB-26,1234830,relaxation,-2.878543,-1.979
HgB-26,1228229,relaxation,-2.878543,-1.81
HgB-26,306284,standard,-2.878543,-1.73
HgB-26,306284,relaxation,-2.878543,-1.729
HgB-26,337826,standard,-2.878543,-1.358
HgB-26,337826,relaxation,-2.878543,-1.72
LiB-26,19709,standard,-4.46791475,-4.389
LiB-26,336748,standard,-4.46791475,-3.692
LiB-26,336748,relaxation,-4.46791475,-3.665
LiB-26,305206,standard,-4.46791475,-3.497
LiB-26,305206,relaxation,-4.46791475,-3.491
LiB-26,1228236,relaxation,-4.46791475,-3.452
LiB-26,326290,standard,-4.46791475,-3.439
LiB-26,326290,relaxation,-4.46791475,-3.436
LiB-26,1104392,relaxation,-4.46791475,-2.89
LiB-26,1218557,relaxation,-4.46791475,-2.371
LiB-26,19709,standard,-4.46791475,-4.389
LiB-26,336748,standard,-4.46791475,-3.692
LiB-26,336748,relaxation,-4.46791475,-3.665
LiB-26,305206,standard,-4.46791475,-3.497
LiB-26,305206,relaxation,-4.46791475,-3.491
LiB-26,1228236,relaxation,-4.46791475,-3.452
LiB-26,326290,standard,-4.46791475,-3.439
LiB-26,326290,relaxation,-4.46791475,-3.436
LiB-26,1104392,relaxation,-4.46791475,-2.89
LiB-26,1218557,relaxation,-4.46791475,-2.371
NaB-9,339387,standard,-3.804885,-2.476
NaB-9,339387,relaxation,-3.804885,-2.448
NaB-9,307845,standard,-3.804885,-2.396
NaB-9,307845,relaxation,-3.804885,-2.394
NaB-9,1228242,relaxation,-3.804885,-2.315
NaB-9,328929,standard,-3.804885,-2.315
NaB-9,328929,relaxation,-3.804885,-2.313
NaB-9,1107030,relaxation,-3.804885,-2.14
NaB-9,1218563,relaxation,-3.804885,-1.793
ScB-28,306933,standard,-6.848363125,-6.483
ScB-28,306933,relaxation,-6.848363125,-6.481
ScB-28,328017,standard,-6.848363125,-6.34
ScB-28,328017,relaxation,-6.848363125,-6.337
ScB-28,1106118,relaxation,-6.848363125,-6.292
ScB-28,338475,standard,-6.848363125,-6.281
ScB-28,338475,relaxation,-6.848363125,-6.48
ScB-28,1228263,relaxation,-6.848363125,-6.101
ScB-28,1218584,relaxation,-6.848363125,-5.524
TlB-30,1107006,relaxation,-7.842513125,-3.028
TlB-30,1234848,relaxation,-7.842513125,-3.028
TlB-30,1218596,relaxation,-7.842513125,-3.026
TlB-30,1228275,relaxation,-7.842513125,-2.838
TlB-30,307821,standard,-7.842513125,-2.778
TlB-30,307821,relaxation,-7.842513125,-2.776
TlB-30,339363,standard,-7.842513125,-2.779
TlB-30,339363,relaxation,-7.842513125,-2.761
AlB-4,327816,standard,-5.05935525,-4.67
AlB-4,327816,relaxation,-5.05935525,-4.665
AlB-4,1105917,relaxation,-5.05935525,-4.574
AlB-4,1224482,relaxation,-5.05935525,-4.553
AlB-4,1217502,relaxation,-5.05935525,-4.45
AlB-4,1227968,relaxation,-5.05935525,-4.428
AlB-4,338274,standard,-5.05935525,-4.427
AlB-4,338274,relaxation,-5.05935525,-4.423
AlB-4,306732,standard,-5.05935525,-4.397
AlB-4,306732,relaxation,-5.05935525,-4.395
AlB-4,1218288,relaxation,-5.05935525,-4.244
CaB-30,304838,standard,-4.4183463125,-3.626
CaB-30,304838,relaxation,-4.4183463125,-3.624
CaB-30,336380,standard,-4.4183463125,-3.533
CaB-30,336380,relaxation,-4.4183463125,-3.602
CaB-30,325922,standard,-4.4183463125,-3.335
CaB-30,325922,relaxation,-4.4183463125,-3.334
CaB-30,1228211,relaxation,-4.4183463125,-3.334
CaB-30,1104024,relaxation,-4.4183463125,-3.31
CaB-30,1218532,relaxation,-4.4183463125,-2.82
CsB-28,307522,standard,-3.563112,-1.745
CsB-28,307522,relaxation,-3.563112,-1.744
CsB-28,1228217,relaxation,-3.563112,-1.631
CsB-28,328606,standard,-3.563112,-1.62
CsB-28,328606,relaxation,-3.563112,-1.621
CsB-28,1106707,relaxation,-3.563112,-1.572
CsB-28,1224731,relaxation,-3.563112,-1.409
CsB-28,1218538,relaxation,-3.563112,-1.395
IB-30,1106991,relaxation,-3.89288175,-2.507
IB-30,1234831,relaxation,-3.89288175,-2.507
IB-30,1218552,relaxation,-3.89288175,-2.335
IB-30,1228231,relaxation,-3.89288175,-2.319
IB-30,307806,standard,-3.89288175,-2.055
IB-30,307806,relaxation,-3.89288175,-2.056
IB-30,339348,standard,-3.89288175,-1.85
IB-30,339348,relaxation,-3.89288175,-2.056
LuB-2,1243291,relaxation,-5.80057475,-5.432
LuB-2,305647,standard,-5.80057475,-5.427
LuB-2,305647,relaxation,-5.80057475,-5.425
LuB-2,337189,standard,-5.80057475,-5.065
LuB-2,337189,relaxation,-5.80057475,-5.424
LuB-2,326731,standard,-5.80057475,-5.373
LuB-2,326731,relaxation,-5.80057475,-5.371
LuB-2,1104832,relaxation,-5.80057475,-5.34
LuB-2,1243292,relaxation,-5.80057475,-5.203
LuB-2,1218558,relaxation,-5.80057475,-4.689
LuB-2,1243291,relaxation,-5.80057475,-5.432
LuB-2,305647,standard,-5.80057475,-5.427
LuB-2,305647,relaxation,-5.80057475,-5.425
LuB-2,337189,standard,-5.80057475,-5.065
LuB-2,337189,relaxation,-5.80057475,-5.424
LuB-2,326731,standard,-5.80057475,-5.373
LuB-2,326731,relaxation,-5.80057475,-5.371
LuB-2,1104832,relaxation,-5.80057475,-5.34
LuB-2,1243292,relaxation,-5.80057475,-5.203
LuB-2,1218558,relaxation,-5.80057475,-4.689
NB-1,5429,standard,-8.788031,-8.742
NB-1,20622,standard,-8.788031,-8.73
NB-1,20623,standard,-8.788031,-8.731
NB-1,1218562,relaxation,-8.788031,-8.713
NB-1,1236347,relaxation,-8.788031,-8.709
NB-1,1236326,relaxation,-8.788031,-8.709
NB-1,1236324,relaxation,-8.788031,-8.699
NB-1,7497,standard,-8.788031,-8.69
NB-1,20626,standard,-8.788031,-8.637
NB-1,20624,standard,-8.788031,-8.606
NB-1,20627,standard,-8.788031,-8.549
NB-1,20625,standard,-8.788031,-8.51
NB-1,20628,standard,-8.788031,-8.426
NB-1,1108152,relaxation,-8.788031,-7.134
NB-1,1106039,relaxation,-8.788031,-6.958
NB-1,1234835,relaxation,-8.788031,-6.957
NB-1,5428,relaxation,-8.788031,-6.231
NB-1,5428,standard,-8.788031,-8.696
NB-1,306854,standard,-8.788031,-4.996
NB-1,306854,relaxation,-8.788031,-5.002
NB-1,338396,standard,-8.788031,-4.993
NB-1,338396,relaxation,-8.788031,-4.963
NB-1,1228241,relaxation,-8.788031,-4.88
PtB-10,1002099,relaxation,-6.54822625,-6.546
PtB-10,1480968,relaxation,-6.54822625,-6.546
