Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgB2-17,27587,relaxation,-4.9024165,-4.868
AgB2-17,27587,standard,-4.9024165,-4.872
AgB2-17,1589540,relaxation,-4.9024165,-3.885
AgB2-17,1238993,relaxation,-4.9024165,-2.961
CB2-22,1435989,relaxation,-7.109490833333333,-6.233
CB2-22,1239448,relaxation,-7.109490833333333,-6.153
CB2-22,1589502,relaxation,-7.109490833333333,-4.926
FB2-22,1231708,relaxation,-5.593034666666667,-4.358
FB2-22,1589505,relaxation,-5.593034666666667,-3.9
NaB2-23,1589506,relaxation,-4.6430795,-3.742
NaB2-23,1238916,relaxation,-4.6430795,-1.269
ScB2-31,8428,standard,-7.400076666666667,-7.4
ScB2-31,1434981,relaxation,-7.400076666666667,-7.395
ScB2-31,1589515,relaxation,-7.400076666666667,-6.492
ScB2-31,18447,relaxation,-7.400076666666667,-6.492
ScB2-31,18447,standard,-7.400076666666667,-6.496
ScB2-31,1416195,relaxation,-7.400076666666667,-5.588
TiB2-26,5808,standard,-8.141957666666666,-8.085
TiB2-26,1589516,relaxation,-8.141957666666666,-7.249
TiB2-26,1231760,relaxation,-8.141957666666666,-6.445
TiB2-26,1238668,relaxation,-8.141957666666666,-4.263
AlB2-4,1589508,relaxation,-5.744868,-4.827
AlB2-4,1238907,relaxation,-5.744868,-3.37
CdB2-30,1589541,relaxation,-4.2320166666666665,-3.093
CdB2-30,1416181,relaxation,-4.2320166666666665,-2.863
CdB2-30,1240745,relaxation,-4.2320166666666665,-2.093
FeB2-36,28389,relaxation,-7.365703416666666,-7.273
FeB2-36,28389,standard,-7.365703416666666,-7.276
FeB2-36,1589520,relaxation,-7.365703416666666,-7.038
FeB2-36,1231709,relaxation,-7.365703416666666,-6.391
FeB2-36,1238776,relaxation,-7.365703416666666,-5.572
KB2-37,1589513,relaxation,-4.473553333333333,-2.998
NB2-36,1450145,relaxation,-7.671539916666667,-6.066
NB2-36,1241351,relaxation,-7.671539916666667,-5.52
NB2-36,1231727,relaxation,-7.671539916666667,-5.404
NB2-36,1589503,relaxation,-7.671539916666667,-4.775
PtB2-32,1415544,relaxation,-6.377174,-5.933
PtB2-32,1236999,relaxation,-6.377174,-5.428
PtB2-32,1576861,relaxation,-6.377174,-5.272
SeB2-4,1589528,relaxation,-5.490921,-3.6
SeB2-4,1237751,relaxation,-5.490921,-2.863
TlB2-29,1449688,relaxation,-4.583800666666667,-4.508
TlB2-29,1589571,relaxation,-4.583800666666667,-3.181
AsB2-4,1589527,relaxation,-5.714045666666667,-4.304
CeB2-29,1450395,relaxation,-6.358798666666666,-6.215
CeB2-29,1589550,relaxation,-6.358798666666666,-5.166
CeB2-29,1237453,relaxation,-6.358798666666666,-3.112
GaB2-37,1589525,relaxation,-4.9845033333333335,-4.087
GaB2-37,1241443,relaxation,-4.9845033333333335,-3.236
LaB2-36,1450396,relaxation,-6.4024705,-6.315
LaB2-36,1589549,relaxation,-6.4024705,-5.352
NbB2-26,660569,relaxation,-8.511704333333332,-8.502
NbB2-26,1589534,relaxation,-8.511704333333332,-7.587
NbB2-26,1416255,relaxation,-8.511704333333332,-6.943
SiB2-4,1589509,relaxation,-5.884150000000001,-4.981
SiB2-4,1239791,relaxation,-5.884150000000001,-4.355
VB2-29,109274,relaxation,-8.164314666666668,-8.159
VB2-29,109275,relaxation,-8.164314666666668,-8.159
VB2-29,5809,standard,-8.164314666666668,-8.164
VB2-29,109273,relaxation,-8.164314666666668,-8.159
VB2-29,109272,relaxation,-8.164314666666668,-8.159
VB2-29,1589517,relaxation,-8.164314666666668,-7.603
AuB2-36,646990,standard,-5.014353833333334,-4.875
AuB2-36,1589570,relaxation,-5.014353833333334,-3.848
