Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgC-13,1243266,relaxation,-5.08467,-5.054
AgC-13,1243265,relaxation,-5.08467,-3.867
AgC-13,1105504,relaxation,-5.08467,-3.796
AgC-13,22368,standard,-5.08467,-3.771
AgC-13,1218212,relaxation,-5.08467,-3.771
AgC-13,327403,standard,-5.08467,-3.779
AgC-13,327403,relaxation,-5.08467,-3.739
AgC-13,1227892,relaxation,-5.08467,-3.69
AgC-13,306319,standard,-5.08467,-3.707
AgC-13,306319,relaxation,-5.08467,-3.707
AgC-13,337861,standard,-5.08467,-3.378
AgC-13,337861,relaxation,-5.08467,-3.681
BrC-12,1106691,relaxation,-4.24663175,-2.776
BrC-12,1234874,relaxation,-4.24663175,-2.774
BrC-12,1218833,relaxation,-4.24663175,-2.63
BrC-12,1228512,relaxation,-4.24663175,-2.578
BrC-12,307506,standard,-4.24663175,-2.319
BrC-12,307506,relaxation,-4.24663175,-2.322
BrC-12,339048,standard,-4.24663175,-2.318
BrC-12,339048,relaxation,-4.24663175,-2.081
FC-28,1228597,relaxation,-6.26302875,-3.31
FC-28,327188,standard,-6.26302875,-3.262
FC-28,327188,relaxation,-6.26302875,-3.289
FC-28,1105289,relaxation,-6.26302875,-3.12
FC-28,337646,standard,-6.26302875,-3.101
FC-28,337646,relaxation,-6.26302875,-3.027
FC-28,1218918,relaxation,-6.26302875,-3.026
FC-28,306104,standard,-6.26302875,-2.978
FC-28,306104,relaxation,-6.26302875,-3.002
MnC-2,1243623,relaxation,-8.96361275,-8.839
MnC-2,1105845,relaxation,-8.96361275,-8.814
MnC-2,1234893,relaxation,-8.96361275,-8.813
MnC-2,1218935,relaxation,-8.96361275,-8.686
MnC-2,306660,standard,-8.96361275,-8.375
MnC-2,306660,relaxation,-8.96361275,-8.376
MnC-2,338202,standard,-8.96361275,-7.995
MnC-2,338202,relaxation,-8.96361275,-8.358
NC-13,3249,standard,-8.484038125,-8.009
NC-13,3249,relaxation,-8.484038125,-8.066
NC-13,1218937,relaxation,-8.484038125,-6.432
NC-13,1234894,relaxation,-8.484038125,-5.955
NC-13,1105245,relaxation,-8.484038125,-5.955
NC-13,306060,standard,-8.484038125,-4.532
NC-13,306060,relaxation,-8.484038125,-4.547
NC-13,337602,standard,-8.484038125,-4.326
NC-13,337602,relaxation,-8.484038125,-4.477
NC-13,1228616,relaxation,-8.484038125,-4.453
SeC-30,327913,standard,-5.80556225,-4.429
SeC-30,327913,relaxation,-5.80556225,-4.432
SeC-30,1106014,relaxation,-5.80556225,-4.433
SeC-30,1218960,relaxation,-5.80556225,-4.299
SeC-30,1228639,relaxation,-5.80556225,-4.133
SeC-30,306829,standard,-5.80556225,-3.682
SeC-30,306829,relaxation,-5.80556225,-3.686
SeC-30,338371,standard,-5.80556225,-3.446
SeC-30,338371,relaxation,-5.80556225,-3.669
TeC-28,1105204,relaxation,-5.6240076875,-4.34
TeC-28,1234901,relaxation,-5.6240076875,-4.34
TeC-28,1218968,relaxation,-5.6240076875,-4.241
TeC-28,1228647,relaxation,-5.6240076875,-4.112
TeC-28,306019,standard,-5.6240076875,-3.695
