Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgC2-4,1450278,relaxation,-5.628683666666666,-4.856
AgC2-4,1589612,relaxation,-5.628683666666666,-4.018
BiC2-2,1589645,relaxation,-6.242397166666667,-4.26
CuC2-32,1450277,relaxation,-6.691296666666666,-5.419
CuC2-32,1589596,relaxation,-6.691296666666666,-4.589
IC2-38,1232092,relaxation,-5.697825000000001,-3.151
IC2-38,1589618,relaxation,-5.697825000000001,-2.75
LuC2-4,13888,standard,-7.847035666666667,-7.845
LuC2-4,13376,standard,-7.847035666666667,-7.845
NiC2-2,1232106,relaxation,-7.006882,-6.003
NiC2-2,1238652,relaxation,-7.006882,-5.766
NiC2-2,1589595,relaxation,-7.006882,-5.365
RbC2-33,1589603,relaxation,-5.521081833333334,-3.258
AlC2-4,1589582,relaxation,-6.8191543333333335,-4.794
AlC2-4,1241307,relaxation,-6.8191543333333335,-4.532
BrC2-37,1589602,relaxation,-4.877304666666666,-2.864
BrC2-37,1238405,relaxation,-4.877304666666666,-2.303
FC2-2,1589580,relaxation,-7.271053999999999,-3.954
FC2-2,1232083,relaxation,-7.271053999999999,-3.792
FC2-2,1416269,relaxation,-7.271053999999999,-2.952
FC2-2,1241262,relaxation,-7.271053999999999,-2.508
InC2-4,1415969,relaxation,-6.077062000000001,-4.373
InC2-4,1589614,relaxation,-6.077062000000001,-4.001
InC2-4,1239457,relaxation,-6.077062000000001,-3.371
MgC2-25,15580,standard,-6.240101333333333,-6.239
MgC2-25,1232099,relaxation,-6.240101333333333,-6.236
MgC2-25,1576862,relaxation,-6.240101333333333,-4.454
MgC2-25,1237932,relaxation,-6.240101333333333,-2.833
PbC2-37,1589644,relaxation,-6.5880833333333335,-4.21
RhC2-32,1450429,relaxation,-7.83540425,-7.373
RhC2-32,1236674,relaxation,-7.83540425,-6.642
RhC2-32,1589610,relaxation,-7.83540425,-5.757
SnC2-17,1589615,relaxation,-6.481083666666667,-4.403
SnC2-17,1240860,relaxation,-6.481083666666667,-4.119
WC2-7,1589636,relaxation,-9.952341333333331,-7.781
AsC2-17,1238181,relaxation,-6.592061999999999,-4.772
AsC2-17,1589600,relaxation,-6.592061999999999,-4.512
