Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AlN-2,20758,relaxation,-7.329498,-7.321
AlN-2,20758,standard,-7.329498,-7.324
AlN-2,20759,relaxation,-7.329498,-7.317
AlN-2,20759,standard,-7.329498,-7.313
AlN-2,1104282,relaxation,-7.329498,-7.279
AlN-2,1234797,relaxation,-7.329498,-7.276
AlN-2,1441353,relaxation,-7.329498,-7.275
AlN-2,1236327,relaxation,-7.329498,-7.274
AlN-2,1474172,relaxation,-7.329498,-7.118
AlN-2,1108149,relaxation,-7.329498,-6.889
AlN-2,1217538,relaxation,-7.329498,-6.702
AlN-2,1228004,relaxation,-7.329498,-6.625
AlN-2,305096,standard,-7.329498,-5.715
AlN-2,305096,relaxation,-7.329498,-5.718
AlN-2,336638,standard,-7.329498,-5.715
AlN-2,336638,relaxation,-7.329498,-5.711
CeN-24,327093,standard,-7.7613365,-7.759
CeN-24,327093,relaxation,-7.7613365,-7.761
CeN-24,647032,standard,-7.7613365,-7.757
CeN-24,1472932,relaxation,-7.7613365,-7.739
CeN-24,1219150,relaxation,-7.7613365,-7.666
CeN-24,1228829,relaxation,-7.7613365,-7.42
CeN-24,1108158,relaxation,-7.7613365,-7.27
CeN-24,306009,standard,-7.7613365,-7.018
CeN-24,306009,relaxation,-7.7613365,-7.022
CeN-24,337551,standard,-7.7613365,-7.017
CeN-24,337551,relaxation,-7.7613365,-7.021
FeN-1,1473886,relaxation,-8.2738515,-8.26
FeN-1,1442202,relaxation,-8.2738515,-8.26
FeN-1,1443828,relaxation,-8.2738515,-8.136
FeN-1,1108166,relaxation,-8.2738515,-8.075
FeN-1,1443180,relaxation,-8.2738515,-8.067
FeN-1,1106055,relaxation,-8.2738515,-8.067
FeN-1,1441354,relaxation,-8.2738515,-8.06
FeN-1,1229474,relaxation,-8.2738515,-7.971
FeN-1,327954,standard,-8.2738515,-8.048
FeN-1,327954,relaxation,-8.2738515,-7.947
FeN-1,1220309,relaxation,-8.2738515,-7.6
FeN-1,306870,standard,-8.2738515,-7.531
FeN-1,306870,relaxation,-8.2738515,-7.599
FeN-1,338412,standard,-8.2738515,-7.435
FeN-1,338412,relaxation,-8.2738515,-7.45
LiN-4,1108177,relaxation,-5.42558925,-4.417
LiN-4,337767,standard,-5.42558925,-4.444
LiN-4,337767,relaxation,-5.42558925,-4.374
LiN-4,306225,standard,-5.42558925,-4.353
LiN-4,306225,relaxation,-5.42558925,-4.363
LiN-4,327309,standard,-5.42558925,-4.265
LiN-4,327309,relaxation,-5.42558925,-4.273
LiN-4,1230163,relaxation,-5.42558925,-4.247
LiN-4,1105410,relaxation,-5.42558925,-3.994
LiN-4,1226677,relaxation,-5.42558925,-3.972
LiN-4,1223192,relaxation,-5.42558925,-3.614
NaN-3,1108182,relaxation,-4.868837,-3.533
NaN-3,304719,standard,-4.868837,-3.469
NaN-3,304719,relaxation,-4.868837,-3.478
NaN-3,336261,standard,-4.868837,-3.08
NaN-3,336261,relaxation,-4.868837,-3.363
NaN-3,325803,standard,-4.868837,-3.299
NaN-3,325803,relaxation,-4.868837,-3.307
