Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AlN2-37,1415674,relaxation,-7.197955333333333,-6.102
AlN2-37,1237730,relaxation,-7.197955333333333,-5.6
AlN2-37,1589655,relaxation,-7.197955333333333,-4.527
CoN2-9,1280973,relaxation,-7.707251833333333,-7.632
CoN2-9,1589668,relaxation,-7.707251833333333,-5.301
GaN2-9,1239211,relaxation,-6.322625,-4.571
GaN2-9,1589672,relaxation,-6.322625,-4.081
KN2-28,1589660,relaxation,-6.064406000000001,-3.709
MnN2-4,1280880,relaxation,-8.551123,-8.521
MnN2-4,1241338,relaxation,-8.551123,-8.229
MnN2-4,1444113,relaxation,-8.551123,-8.204
MnN2-4,1589666,relaxation,-8.551123,-6.218
PN2-23,1589657,relaxation,-6.91472975,-4.341
RuN2-12,22994,standard,-8.254459666666667,-8.249
RuN2-12,1280992,relaxation,-8.254459666666667,-7.96
RuN2-12,1241154,relaxation,-8.254459666666667,-7.762
RuN2-12,23732,relaxation,-8.254459666666667,-7.758
RuN2-12,23732,standard,-8.254459666666667,-7.764
RuN2-12,1233888,relaxation,-8.254459666666667,-7.727
RuN2-12,1589683,relaxation,-8.254459666666667,-5.849
TiN2-7,1280902,relaxation,-8.935622666666667,-8.648
TiN2-7,1233902,relaxation,-8.935622666666667,-8.016
TiN2-7,1240915,relaxation,-8.935622666666667,-7.707
TiN2-7,1589663,relaxation,-8.935622666666667,-6.664
ZnN2-30,1280996,relaxation,-5.649921,-5.526
ZnN2-30,1233910,relaxation,-5.649921,-4.831
ZnN2-30,1589671,relaxation,-5.649921,-3.543
BeN2-32,1415830,relaxation,-6.904132833333333,-5.434
BeN2-32,1238682,relaxation,-6.904132833333333,-5.027
BeN2-32,1589648,relaxation,-6.904132833333333,-4.25
CrN2-13,1439722,relaxation,-9.026944,-8.774
CrN2-13,1473590,relaxation,-9.026944,-8.56
CrN2-13,1444110,relaxation,-9.026944,-8.483
GeN2-12,1239981,relaxation,-6.7334045,-5.587
GeN2-12,1589673,relaxation,-6.7334045,-4.508
LaN2-17,1589695,relaxation,-8.107905666666666,-6.194
LaN2-17,1239280,relaxation,-8.107905666666666,-6.104
MoN2-2,1239596,relaxation,-9.228371,-9.183
MoN2-2,1361000,relaxation,-9.228371,-9.152
MoN2-2,1473726,relaxation,-9.228371,-9.156
MoN2-2,1473315,relaxation,-9.228371,-9.155
MoN2-2,1473121,relaxation,-9.228371,-9.088
MoN2-2,1444112,relaxation,-9.228371,-9.037
MoN2-2,1473403,relaxation,-9.228371,-9.006
MoN2-2,1439724,relaxation,-9.228371,-8.849
MoN2-2,1440745,relaxation,-9.228371,-8.645
MoN2-2,1589681,relaxation,-9.228371,-6.905
ScN2-2,1233891,relaxation,-8.420019833333333,-8.408
ScN2-2,1415556,relaxation,-8.420019833333333,-7.375
ScN2-2,1237059,relaxation,-8.420019833333333,-6.67
ScN2-2,1589662,relaxation,-8.420019833333333,-6.472
VN2-30,1239835,relaxation,-8.950429666666667,-8.428
VN2-30,1233906,relaxation,-8.950429666666667,-8.424
VN2-30,1589664,relaxation,-8.950429666666667,-6.653
ZrN2-36,1233911,relaxation,-9.170424166666669,-8.373
ZrN2-36,1237912,relaxation,-9.170424166666669,-8.038
ZrN2-36,1589680,relaxation,-9.170424166666669,-6.929
BN2-4,1241350,relaxation,-8.069129833333333,-6.85
BN2-4,1589649,relaxation,-8.069129833333333,-4.071
CsN2-36,1589693,relaxation,-5.99683525,-3.049
CsN2-36,1416600,relaxation,-5.99683525,-2.523
CsN2-36,1236483,relaxation,-5.99683525,-2.296
HfN2-17,1239818,relaxation,-9.768218,-8.64
HfN2-17,1589709,relaxation,-9.768218,-7.265
LiN2-1,1589647,relaxation,-6.430153166666667,-4.547
LiN2-1,1241510,relaxation,-6.430153166666667,-2.864
NaN2-13,1233870,relaxation,-6.089025666666667,-5.943
NaN2-13,1280958,relaxation,-6.089025666666667,-5.948
NaN2-13,1589653,relaxation,-6.089025666666667,-4.121
NaN2-13,1416391,relaxation,-6.089025666666667,-3.364
PtN2-37,21164,standard,-7.239464000000001,-7.116
PtN2-37,21165,standard,-7.239464000000001,-7.077
PtN2-37,1233883,relaxation,-7.239464000000001,-6.326
PtN2-37,1416479,relaxation,-7.239464000000001,-6.208
PtN2-37,1589715,relaxation,-7.239464000000001,-4.457
SiN2-8,1233893,relaxation,-7.861143916666666,-7.073
SiN2-8,1240973,relaxation,-7.861143916666666,-6.993
SiN2-8,1416221,relaxation,-7.861143916666666,-6.475
SiN2-8,1589656,relaxation,-7.861143916666666,-4.675
CaN2-32,1520622,relaxation,-6.750575833333333,-5.934
CaN2-32,1589661,relaxation,-6.750575833333333,-4.984
CaN2-32,1416622,relaxation,-6.750575833333333,-4.853
CaN2-32,1236747,relaxation,-6.750575833333333,-3.672
CuN2-17,1280926,relaxation,-6.518884,-6.237
CuN2-17,1589670,relaxation,-6.518884,-4.165
CuN2-17,1237222,relaxation,-6.518884,-4.149
IrN2-11,1372199,relaxation,-8.273897333333332,-8.271
IrN2-11,20338,standard,-8.273897333333332,-8.086
IrN2-11,21163,standard,-8.273897333333332,-8.037
IrN2-11,120782,relaxation,-8.273897333333332,-8.03
IrN2-11,21162,standard,-8.273897333333332,-7.941
IrN2-11,1435998,relaxation,-8.273897333333332,-7.609
IrN2-11,1416042,relaxation,-8.273897333333332,-7.416
IrN2-11,1239861,relaxation,-8.273897333333332,-7.39
IrN2-11,1589714,relaxation,-8.273897333333332,-5.375
NbN2-17,1520425,relaxation,-9.2351695,-9.119
NbN2-17,1233871,relaxation,-9.2351695,-8.974
NbN2-17,1415508,relaxation,-9.2351695,-8.921
NbN2-17,1236824,relaxation,-9.2351695,-8.885
NbN2-17,1576874,relaxation,-9.2351695,-7.065
WN2-35,1473134,relaxation,-9.949727,-9.794
WN2-35,1473574,relaxation,-9.949727,-9.794
WN2-35,1435825,relaxation,-9.949727,-9.775
WN2-35,5824,relaxation,-9.949727,-9.505
WN2-35,5824,standard,-9.949727,-9.692
WN2-35,1440478,relaxation,-9.949727,-9.494
WN2-35,1589711,relaxation,-9.949727,-7.373
CeN2-15,1370471,relaxation,-7.861876666666666,-7.844
CeN2-15,1589696,relaxation,-7.861876666666666,-5.917
CeN2-15,1241616,relaxation,-7.861876666666666,-5.725
FeN2-30,1281012,relaxation,-8.199322666666667,-7.974
FeN2-30,1238942,relaxation,-8.199322666666667,-7.616
FeN2-30,1589667,relaxation,-8.199322666666667,-5.877
MgN2-30,1280989,relaxation,-6.280478333333334,-6.052
MgN2-30,1415998,relaxation,-6.280478333333334,-4.767
MgN2-30,1589654,relaxation,-6.280478333333334,-4.297
NiN2-30,1280962,relaxation,-7.217537666666666,-7.103
NiN2-30,1233873,relaxation,-7.217537666666666,-5.971
NiN2-30,1237839,relaxation,-7.217537666666666,-5.532
NiN2-30,1589669,relaxation,-7.217537666666666,-4.773
RbN2-28,1233885,relaxation,-6.009307,-5.928
RbN2-28,1589677,relaxation,-6.009307,-3.404
RbN2-28,1415758,relaxation,-6.009307,-2.548
RbN2-28,1238285,relaxation,-6.009307,-1.835
SrN2-4,25430,standard,-6.622203666666667,-6.594
SrN2-4,1233896,relaxation,-6.622203666666667,-6.528
SrN2-4,1589678,relaxation,-6.622203666666667,-4.726
SrN2-4,1415649,relaxation,-6.622203666666667,-4.511
YN2-25,1415488,relaxation,-8.508060666666667,-7.398
YN2-25,1233908,relaxation,-8.508060666666667,-7.163
YN2-25,1236734,relaxation,-8.508060666666667,-6.673
YN2-25,1589679,relaxation,-8.508060666666667,-6.536
