Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgO-7,8207,standard,-3.99143,-3.925
AgO-7,5373,standard,-3.99143,-3.897
AgO-7,5376,standard,-3.99143,-3.933
AgO-7,31162,standard,-3.99143,-3.894
AgO-7,1104967,relaxation,-3.99143,-3.862
AgO-7,326866,standard,-3.99143,-3.821
AgO-7,326866,relaxation,-3.99143,-3.847
AgO-7,1745279,relaxation,-3.99143,-3.816
AgO-7,1743110,relaxation,-3.99143,-3.808
AgO-7,1227929,relaxation,-3.99143,-3.693
AgO-7,1218249,relaxation,-3.99143,-3.692
AgO-7,6628,relaxation,-3.99143,-3.675
AgO-7,6628,standard,-3.99143,-3.664
AgO-7,1741841,relaxation,-3.99143,-3.667
AgO-7,305782,standard,-3.99143,-3.552
AgO-7,305782,relaxation,-3.99143,-3.568
AgO-7,337324,standard,-3.99143,-3.547
AgO-7,337324,relaxation,-3.99143,-3.407
BaO-12,327028,standard,-5.9131235,-5.907
BaO-12,1443893,relaxation,-5.9131235,-5.908
BaO-12,1443087,relaxation,-5.9131235,-5.908
BaO-12,5183,standard,-5.9131235,-5.898
BaO-12,1472694,relaxation,-5.9131235,-5.906
BaO-12,1441809,relaxation,-5.9131235,-5.903
BaO-12,1442817,relaxation,-5.9131235,-5.904
BaO-12,1343426,relaxation,-5.9131235,-5.894
BaO-12,1442284,relaxation,-5.9131235,-5.895
BaO-12,1343612,relaxation,-5.9131235,-5.887
BaO-12,22045,relaxation,-5.9131235,-5.878
BaO-12,22045,standard,-5.9131235,-5.864
BaO-12,1218645,relaxation,-5.9131235,-5.878
BaO-12,1444229,relaxation,-5.9131235,-5.808
BaO-12,1441700,relaxation,-5.9131235,-5.804
BaO-12,1443345,relaxation,-5.9131235,-5.773
BaO-12,3061,relaxation,-5.9131235,-5.771
BaO-12,3061,standard,-5.9131235,-5.714
BaO-12,1443639,relaxation,-5.9131235,-5.642
BaO-12,305944,standard,-5.9131235,-5.567
BaO-12,305944,relaxation,-5.9131235,-5.578
BaO-12,337486,standard,-5.9131235,-5.27
BaO-12,337486,relaxation,-5.9131235,-5.561
BaO-12,1444123,relaxation,-5.9131235,-3.407
CdO-2,1444342,relaxation,-3.95310575,-3.95
CdO-2,1444445,relaxation,-3.95310575,-3.951
CdO-2,1443147,relaxation,-3.95310575,-3.952
CdO-2,4707,standard,-3.95310575,-3.939
CdO-2,1443175,relaxation,-3.95310575,-3.943
CdO-2,328857,standard,-3.95310575,-3.939
CdO-2,328857,relaxation,-3.95310575,-3.945
