Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgO2-9,1589760,relaxation,-4.214350666666667,-3.039
BiO2-32,14331,standard,-5.6407315,-5.605
BiO2-32,646993,standard,-5.6407315,-5.521
BiO2-32,1239431,relaxation,-5.6407315,-5.411
BiO2-32,1589795,relaxation,-5.6407315,-3.859
CoO2-36,1441002,relaxation,-6.555106083333333,-5.703
CoO2-36,1439837,relaxation,-6.555106083333333,-5.695
CoO2-36,1441198,relaxation,-6.555106083333333,-5.688
CoO2-36,15701,standard,-6.555106083333333,-5.532
CoO2-36,16426,relaxation,-6.555106083333333,-5.683
CoO2-36,1281001,relaxation,-6.555106083333333,-5.412
CoO2-36,1239227,relaxation,-6.555106083333333,-5.388
CoO2-36,1741718,relaxation,-6.555106083333333,-5.395
CoO2-36,1440472,relaxation,-6.555106083333333,-5.187
CoO2-36,78494,relaxation,-6.555106083333333,-5.184
CoO2-36,1589741,relaxation,-6.555106083333333,-3.87
GaO2-17,711624,relaxation,-5.616541166666667,-5.586
GaO2-17,711625,relaxation,-5.616541166666667,-5.33
GaO2-17,1415731,relaxation,-5.616541166666667,-5.233
GaO2-17,1238089,relaxation,-5.616541166666667,-5.177
GaO2-17,1589745,relaxation,-5.616541166666667,-3.433
IrO2-9,10054,standard,-7.0369265,-7.025
IrO2-9,1343605,relaxation,-7.0369265,-7.009
IrO2-9,1343987,relaxation,-7.0369265,-7.01
IrO2-9,1344006,relaxation,-7.0369265,-6.995
IrO2-9,1343207,relaxation,-7.0369265,-6.986
IrO2-9,1250635,relaxation,-7.0369265,-6.947
IrO2-9,1280877,relaxation,-7.0369265,-6.924
IrO2-9,1343577,relaxation,-7.0369265,-6.906
IrO2-9,1344084,relaxation,-7.0369265,-6.905
IrO2-9,1474156,relaxation,-7.0369265,-6.804
IrO2-9,1473399,relaxation,-7.0369265,-6.8
IrO2-9,1753568,relaxation,-7.0369265,-6.775
IrO2-9,1442560,relaxation,-7.0369265,-6.783
IrO2-9,1472995,relaxation,-7.0369265,-6.727
IrO2-9,1415994,relaxation,-7.0369265,-6.657
IrO2-9,1285291,relaxation,-7.0369265,-6.638
IrO2-9,1285292,relaxation,-7.0369265,-6.638
IrO2-9,1239621,relaxation,-7.0369265,-6.275
IrO2-9,1442803,relaxation,-7.0369265,-6.28
IrO2-9,1589789,relaxation,-7.0369265,-4.484
NbO2-32,10057,relaxation,-9.096574166666668,-9.081
NbO2-32,10057,standard,-9.096574166666668,-9.063
NbO2-32,1745295,relaxation,-9.096574166666668,-9.084
NbO2-32,1439728,relaxation,-9.096574166666668,-9.073
NbO2-32,1441200,relaxation,-9.096574166666668,-9.038
NbO2-32,1440465,relaxation,-9.096574166666668,-8.923
NbO2-32,1439744,relaxation,-9.096574166666668,-8.922
NbO2-32,1239659,relaxation,-9.096574166666668,-8.851
NbO2-32,1442558,relaxation,-9.096574166666668,-8.786
