Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AlP2-32,1590183,relaxation,-5.060901,-4.324
AlP2-32,1240585,relaxation,-5.060901,-3.819
CoP2-12,1281025,relaxation,-6.48692525,-6.281
CoP2-12,1590195,relaxation,-6.48692525,-5.139
GaP2-17,1590199,relaxation,-4.701085666666667,-4.128
LiP2-12,1590174,relaxation,-4.553082083333334,-4.197
LiP2-12,1237280,relaxation,-4.553082083333334,-2.596
PbP2-9,1590247,relaxation,-4.643322,-4.321
RuP2-12,1800,standard,-7.2755465,-7.275
RuP2-12,1735349,relaxation,-7.2755465,-6.939
RuP2-12,1735401,relaxation,-7.2755465,-6.938
RuP2-12,1417071,relaxation,-7.2755465,-6.854
RuP2-12,1280975,relaxation,-7.2755465,-6.822
RuP2-12,1590211,relaxation,-7.2755465,-5.889
SP2-17,1473072,relaxation,-4.9988005,-4.966
SP2-17,1473917,relaxation,-4.9988005,-4.753
SP2-17,1474275,relaxation,-4.9988005,-4.75
SP2-17,1726369,relaxation,-4.9988005,-4.241
SP2-17,1234189,relaxation,-4.9988005,-4.085
SP2-17,1590185,relaxation,-4.9988005,-4.029
BaP2-26,1590222,relaxation,-4.944022666666666,-4.545
CP2-33,1281018,relaxation,-6.1279745000000005,-5.379
CP2-33,1590177,relaxation,-6.1279745000000005,-4.335
HfP2-30,1416240,relaxation,-7.652806000000001,-7.204
HfP2-30,1590237,relaxation,-7.652806000000001,-6.806
HfP2-30,1241049,relaxation,-7.652806000000001,-6.445
LuP2-32,1236971,relaxation,-5.888723416666667,-4.337
PdP2-12,1520525,relaxation,-5.686933666666667,-5.487
PdP2-12,1590213,relaxation,-5.686933666666667,-4.839
SbP2-26,1449807,relaxation,-4.860931,-4.546
SbP2-26,1590218,relaxation,-4.860931,-4.286
SrP2-26,1590205,relaxation,-4.8147356666666665,-4.463
WP2-17,1741928,relaxation,-8.1898095,-7.99
WP2-17,1472798,relaxation,-8.1898095,-7.952
