Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgS-2,1105225,relaxation,-3.41013,-3.392
AgS-2,1234793,relaxation,-3.41013,-3.387
AgS-2,1218263,relaxation,-3.41013,-3.315
AgS-2,1224457,relaxation,-3.41013,-3.306
AgS-2,1227943,relaxation,-3.41013,-3.232
AgS-2,337582,standard,-3.41013,-2.903
AgS-2,337582,relaxation,-3.41013,-3.109
AgS-2,306040,standard,-3.41013,-3.102
AgS-2,306040,relaxation,-3.41013,-3.103
BS-25,1480979,relaxation,-5.8186773333333335,-5.802
BS-25,1218582,relaxation,-5.8186773333333335,-4.727
BS-25,1104193,relaxation,-5.8186773333333335,-4.606
BS-25,1234841,relaxation,-5.8186773333333335,-4.605
BS-25,1228261,relaxation,-5.8186773333333335,-4.33
BS-25,305007,standard,-5.8186773333333335,-3.635
BS-25,305007,relaxation,-5.8186773333333335,-3.634
BS-25,336549,standard,-5.8186773333333335,-3.634
BS-25,336549,relaxation,-5.8186773333333335,-3.623
CS-25,326012,standard,-6.175205833333333,-4.749
CS-25,326012,relaxation,-6.175205833333333,-4.752
CS-25,1104114,relaxation,-6.175205833333333,-4.753
CS-25,1218957,relaxation,-6.175205833333333,-4.46
CS-25,1228636,relaxation,-6.175205833333333,-4.335
CS-25,304928,standard,-6.175205833333333,-3.784
CS-25,304928,relaxation,-6.175205833333333,-3.787
CS-25,336470,standard,-6.175205833333333,-3.782
CS-25,336470,relaxation,-6.175205833333333,-3.783
HfS-22,304856,standard,-8.25891875,-8.177
HfS-22,304856,relaxation,-8.25891875,-8.171
HfS-22,336398,standard,-8.25891875,-8.027
HfS-22,336398,relaxation,-8.25891875,-8.165
HfS-22,1104042,relaxation,-8.25891875,-8.148
HfS-22,1235000,relaxation,-8.25891875,-8.141
HfS-22,1222808,relaxation,-8.25891875,-7.787
LiS-1,325896,standard,-3.88782625,-3.652
LiS-1,325896,relaxation,-3.88782625,-3.654
LiS-1,336354,standard,-3.88782625,-3.574
LiS-1,336354,relaxation,-3.88782625,-3.646
LiS-1,304812,standard,-3.88782625,-3.61
LiS-1,304812,relaxation,-3.88782625,-3.611
LiS-1,1230183,relaxation,-3.88782625,-3.608
LiS-1,1103998,relaxation,-3.88782625,-3.529
LiS-1,22454,standard,-3.88782625,-3.522
LiS-1,1243363,relaxation,-3.88782625,-3.522
LiS-1,1223212,relaxation,-3.88782625,-3.313
NiS-6,1223590,relaxation,-5.19527325,-5.187
NiS-6,1742355,relaxation,-5.19527325,-5.174
NiS-6,1473952,relaxation,-5.19527325,-5.166
NiS-6,1473644,relaxation,-5.19527325,-5.153
NiS-6,1343753,relaxation,-5.19527325,-5.161
NiS-6,1343792,relaxation,-5.19527325,-5.161
NiS-6,1227075,relaxation,-5.19527325,-5.161
NiS-6,1343187,relaxation,-5.19527325,-5.144
NiS-6,1474041,relaxation,-5.19527325,-5.136
NiS-6,5722,standard,-5.19527325,-5.121
NiS-6,7782,standard,-5.19527325,-5.122
NiS-6,1440009,relaxation,-5.19527325,-5.12
NiS-6,1103995,relaxation,-5.19527325,-5.057
NiS-6,1235053,relaxation,-5.19527325,-5.053
NiS-6,1230561,relaxation,-5.19527325,-4.899
NiS-6,1442534,relaxation,-5.19527325,-4.879
NiS-6,304809,standard,-5.19527325,-4.712
NiS-6,304809,relaxation,-5.19527325,-4.71
