Our_Material_ID,OQMD_ID,Configuration,Total_Energy_per_atom,OQMD_Total_Energy_per_atom
AgS2-9,1368688,relaxation,-3.703390666666667,-3.641
AgS2-9,1590290,relaxation,-3.703390666666667,-2.915
AgS2-9,1240888,relaxation,-3.703390666666667,-2.609
BS2-36,1239586,relaxation,-4.960096,-4.375
BS2-36,1590252,relaxation,-4.960096,-2.954
CuS2-9,29770,standard,-4.219141666666666,-4.085
CuS2-9,647162,standard,-4.219141666666666,-4.084
CuS2-9,1757377,relaxation,-4.219141666666666,-3.999
CuS2-9,1590273,relaxation,-4.219141666666666,-2.964
IrS2-9,1473933,relaxation,-6.003249333333333,-5.998
IrS2-9,1707577,relaxation,-6.003249333333333,-5.98
IrS2-9,31339,relaxation,-6.003249333333333,-5.98
IrS2-9,31339,standard,-6.003249333333333,-5.986
IrS2-9,1440958,relaxation,-6.003249333333333,-5.98
IrS2-9,1472885,relaxation,-6.003249333333333,-5.971
IrS2-9,1474102,relaxation,-6.003249333333333,-5.969
IrS2-9,1472777,relaxation,-6.003249333333333,-5.963
IrS2-9,1745283,relaxation,-6.003249333333333,-5.948
IrS2-9,1474092,relaxation,-6.003249333333333,-5.857
IrS2-9,1472659,relaxation,-6.003249333333333,-5.859
IrS2-9,1416262,relaxation,-6.003249333333333,-5.639
IrS2-9,1757887,relaxation,-6.003249333333333,-5.584
IrS2-9,1757540,relaxation,-6.003249333333333,-5.581
IrS2-9,1738689,relaxation,-6.003249333333333,-5.58
IrS2-9,1739001,relaxation,-6.003249333333333,-5.549
IrS2-9,1241216,relaxation,-6.003249333333333,-5.356
IrS2-9,1441172,relaxation,-6.003249333333333,-5.29
IrS2-9,1590319,relaxation,-6.003249333333333,-4.035
MnS2-12,1439692,relaxation,-6.291448583333334,-6.272
MnS2-12,1440301,relaxation,-6.291448583333334,-6.27
MnS2-12,1473377,relaxation,-6.291448583333334,-6.267
MnS2-12,1441223,relaxation,-6.291448583333334,-6.214
MnS2-12,1343312,relaxation,-6.291448583333334,-6.207
MnS2-12,1343519,relaxation,-6.291448583333334,-6.202
MnS2-12,1757541,relaxation,-6.291448583333334,-6.205
MnS2-12,1739002,relaxation,-6.291448583333334,-6.201
MnS2-12,1344002,relaxation,-6.291448583333334,-6.2
MnS2-12,1440961,relaxation,-6.291448583333334,-6.191
MnS2-12,1441447,relaxation,-6.291448583333334,-6.191
MnS2-12,1474208,relaxation,-6.291448583333334,-6.123
MnS2-12,1472949,relaxation,-6.291448583333334,-6.056
