Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgB,1227887,relaxation,-3.457,0.0,12.453,8.0,True
AgB,1227887,static,-3.466,0.0,12.453,1.0,True
AgB,325969,initialize,-3.266,0.0,12.361,1.0,True
AgB,325969,coarse_relax,-3.334,0.0,12.054,5.0,True
AgB,325969,fine_relax,-3.401,0.0,12.814,5.0,True
AgB,325969,standard,-3.399,0.0,12.814,1.0,True
AgB,325969,static,-3.399,0.0,12.794,1.0,True
AgB,325969,relaxation,-3.398,0.0,12.794,7.0,True
AgB,304885,initialize,-3.332,0.0,12.361,1.0,True
AgB,304885,coarse_relax,-3.34,0.0,11.944,3.0,True
AgB,304885,fine_relax,-3.358,0.0,12.366,3.0,True
AgB,304885,standard,-3.356,0.0,12.366,1.0,True
AgB,304885,static,-3.356,0.0,12.361,1.0,True
AgB,304885,relaxation,-3.356,0.0,12.361,1.0,True
AgB,1104071,relaxation,-3.347,0.0,13.321,3.0,True
AgB,1104071,static,-3.346,0.0,13.321,1.0,True
AgB,1218207,relaxation,-3.311,0.0,16.093,3.0,True
AgB,1218207,static,-3.31,0.0,16.093,1.0,True
AgB,336427,initialize,-2.991,0.0,12.361,1.0,True
AgB,336427,coarse_relax,-3.009,0.0,12.068,7.0,True
AgB,336427,fine_relax,-3.288,0.0,12.417,10.0,True
AgB,336427,standard,-3.356,0.0,12.417,1.0,True
AgB,336427,static,-3.221,0.0,12.376,1.0,True
AgB,336427,relaxation,-3.226,0.0,12.376,10.0,True
CrB,28321,static,-8.62,0.0,8.331,1.0,True
CrB,28321,standard,-8.62,0.0,8.329,1.0,True
CrB,28321,fine_relax,-8.622,0.0,8.329,4.0,True
CrB,28321,relaxation_lda,-9.635,0.0,7.945,7.0,True
CrB,28321,static_lda,-9.635,0.0,7.945,1.0,True
CrB,5878,static,-8.61,0.0,8.327,1.0,True
CrB,5878,coarse_relax,-8.59,0.0,8.233,7.0,True
CrB,5878,standard,-8.61,0.0,8.337,1.0,True
CrB,5878,fine_relax,-8.614,0.0,8.337,3.0,True
CrB,5878,relaxation_lda,-9.624,0.0,7.951,3.0,True
CrB,5878,static_lda,-9.625,0.0,7.951,1.0,True
CrB,1106588,relaxation,-8.146,0.0,9.024,3.0,True
CrB,1106588,static,-8.147,0.0,9.024,1.0,True
CrB,1234828,relaxation,-8.145,0.0,9.002,3.0,True
CrB,1234828,static,-8.147,0.0,9.002,1.0,True
