,Compound_ID,Energy_per_atom
0,AgB-10,-4.379353
1,CrB-30,-8.427736875
2,HgB-26,-2.878543
3,LiB-26,-4.46791475
4,NaB-9,-3.804885
5,ScB-28,-6.848363125
6,TlB-30,-7.842513125
7,AlB-4,-5.05935525
8,CaB-30,-4.4183463125
9,CsB-28,-3.563112
10,IB-30,-3.89288175
11,LuB-2,-5.80057475
12,NB-1,-8.788031
13,PtB-10,-6.54822625
14,SeB-14,-5.244519
15,VB-30,-8.358331875
16,AsB-29,-5.6873845
17,CB-13,-7.66069725
18,CuB-13,-5.14191975
19,InB-2,-4.08031675
20,LuB-24,-5.980030125
21,NbB-27,-8.975395
22,SiB-2,-5.85243875
23,AuB-26,-4.559195166666666
24,CB-14,-7.66059325
25,FB-30,-5.5929095625
26,IrB-2,-7.9812225
27,MgB-19,-3.8898055
28,NiB-22,-6.23750125
29,RbB-26,-3.45287125
30,WB-20,-9.96832025
31,BaB-28,-4.253000625
32,CdB-21,-3.13585175
33,FeB-19,-7.79876
34,MgB-25,-4.102936083333334
35,OB-13,-7.63978575
36,RhB-27,-7.36308675
37,SnB-2,-4.8264175
38,YB-27,-6.7603263333333325
39,BeB-2,-5.17954
40,CeB-26,-5.717617333333333
41,GaB-6,-4.45937025
42,KB-22,-3.61232775
43,MnB-30,-8.1802325
44,PB-17,-6.201376375
45,RuB-4,-8.25205725
46,SrB-30,-4.2303273125
47,ZnB-4,-3.5194065
48,BiB-1,-4.69982275
49,ClB-30,-4.5456870625
50,GeB-2,-5.21648425
51,LaB-2,-5.85890625
52,MoB-14,-8.908493
53,PbB-28,-4.69889525
54,SB-3,-5.8019675
55,TaB-24,-10.060005125
56,ZrB-26,-8.148644166666667
57,BrB-13,-3.6052985
58,CoB-30,-7.135835
59,HfB-26,-8.900838333333333
60,LiB-13,-4.47193225
61,MoB-20,-8.971187625
62,PdB-26,-5.976558
63,SbB-24,-5.061697
64,TeB-2,-4.6345455
