Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgB2,27587,relaxation,-4.868,0.0,10.707,5.0,True
AgB2,27587,static,-4.873,0.0,10.707,1.0,True
AgB2,27587,coarse_relax,-4.578,,9.452,8.0,False
AgB2,27587,standard,-4.872,0.0,10.641,1.0,True
AgB2,27587,fine_relax,-4.86,,10.641,5.0,False
AgB2,1589540,relaxation_0,-3.9,0.0,10.342,3.0,False
AgB2,1589540,relaxation,-3.885,0.0,10.313,3.0,True
AgB2,1589540,static,-3.884,0.0,10.313,1.0,True
AgB2,1238993,relaxation_0,-1.962,0.0,25.84,6.0,False
AgB2,1238993,relaxation_1,-2.933,0.0,34.516,4.0,False
AgB2,1238993,relaxation,-2.961,0.0,34.986,3.0,True
AgB2,1238993,static,-2.959,0.0,34.986,1.0,True
CB2,1435989,relaxation_0,-6.241,0.0,7.129,23.0,False
CB2,1435989,relaxation,-6.233,0.0,7.087,3.0,True
CB2,1435989,static,-6.231,0.0,7.087,1.0,True
CB2,1239448,relaxation_0,-6.124,0.0,13.753,3.0,False
CB2,1239448,relaxation,-6.153,0.0,13.906,3.0,True
CB2,1239448,static,-6.151,0.0,13.906,1.0,True
CB2,1589502,relaxation_0,-4.935,0.0,6.769,7.0,False
CB2,1589502,relaxation,-4.926,0.0,6.733,3.0,True
CB2,1589502,static,-4.927,0.0,6.733,1.0,True
FB2,1231708,relaxation,-4.358,0.0,10.157,7.0,True
FB2,1231708,static,-4.37,0.0,10.157,1.0,True
FB2,1589505,relaxation_0,-3.949,0.0,8.267,5.0,False
FB2,1589505,relaxation,-3.9,0.0,7.922,3.0,True
FB2,1589505,static,-3.885,0.0,7.922,1.0,True
NaB2,1589506,relaxation_0,-3.753,0.0,9.359,5.0,False
NaB2,1589506,relaxation,-3.742,0.0,9.318,3.0,True
NaB2,1589506,static,-3.747,0.0,9.318,1.0,True
NaB2,1238916,relaxation_0,-0.334,0.0,36.616,4.0,False
NaB2,1238916,relaxation_1,-1.143,0.0,56.334,4.0,False
NaB2,1238916,relaxation_2,-1.257,0.0,67.799,4.0,False
NaB2,1238916,relaxation,-1.269,0.0,71.157,3.0,True
NaB2,1238916,static,-1.271,0.0,71.157,1.0,True
ScB2,8428,static,-7.4,0.0,10.009,1.0,True
ScB2,8428,coarse_relax,-7.359,0.0,9.821,3.0,True
ScB2,8428,standard,-7.4,0.0,10.009,1.0,True
ScB2,8428,fine_relax,-7.396,0.0,10.009,4.0,True
ScB2,8428,static_lda,-8.13,0.0,9.617,1.0,True
ScB2,123659,static,-7.4,0.0,10.008,1.0,True
ScB2,123659,static_lda,-8.13,0.0,9.617,1.0,True
ScB2,1434981,relaxation_0,-7.396,0.0,10.021,5.0,False
ScB2,1434981,relaxation,-7.395,0.0,10.007,3.0,True
ScB2,1434981,static,-7.4,0.0,10.007,1.0,True
ScB2,107005,static,-7.4,0.0,9.993,1.0,True
ScB2,107005,static_lda,-8.13,0.0,9.617,1.0,True
ScB2,1589515,relaxation_0,-6.504,0.0,9.57,3.0,False
ScB2,1589515,relaxation,-6.492,0.0,9.537,3.0,True
ScB2,1589515,static,-6.496,0.0,9.537,1.0,True
ScB2,18447,relaxation,-6.492,0.0,9.533,3.0,True
ScB2,18447,static,-6.496,0.0,9.533,1.0,True
ScB2,18447,coarse_relax,-6.534,,9.511,3.0,False
ScB2,18447,standard,-6.496,0.0,9.542,1.0,True
ScB2,18447,fine_relax,-6.495,0.0,9.542,2.0,True
ScB2,18447,relaxation_lda,-7.253,0.0,9.106,3.0,True
ScB2,18447,static_lda,-7.253,0.0,9.106,1.0,True
ScB2,1416195,relaxation_0,-5.594,0.0,13.107,3.0,False
ScB2,1416195,relaxation,-5.588,0.0,13.073,3.0,True
ScB2,1416195,static,-5.592,0.0,13.073,1.0,True
TiB2,5808,static,-8.085,0.0,8.533,1.0,True
TiB2,5808,coarse_relax,-8.047,0.0,8.394,3.0,True
TiB2,5808,standard,-8.085,0.0,8.54,1.0,True
TiB2,5808,fine_relax,-8.081,0.0,8.54,3.0,True
TiB2,5808,static_lda,-8.974,0.0,8.191,1.0,True
TiB2,69549,static,-8.085,0.0,8.533,1.0,True
TiB2,69549,static_lda,-8.974,0.0,8.191,1.0,True
TiB2,107006,static,-8.085,0.0,8.531,1.0,True
TiB2,107006,static_lda,-8.974,0.0,8.188,1.0,True
TiB2,69550,static,-8.085,0.0,8.533,1.0,True
TiB2,69550,static_lda,-8.974,0.0,8.188,1.0,True
TiB2,1589516,relaxation_0,-7.256,0.0,8.415,3.0,False
TiB2,1589516,relaxation,-7.249,0.0,8.385,3.0,True
TiB2,1589516,static,-7.252,0.0,8.385,1.0,True
TiB2,1231760,relaxation,-6.445,0.0,12.267,5.0,True
TiB2,1231760,static,-6.449,0.0,12.267,1.0,True
TiB2,1238668,relaxation_0,-3.673,0.0,37.538,5.0,False
TiB2,1238668,relaxation_1,-4.249,0.0,43.121,3.0,False
TiB2,1238668,relaxation_2,-4.261,0.0,45.33,4.0,False
TiB2,1238668,relaxation,-4.263,0.0,45.33,1.0,True
TiB2,1238668,static,-4.261,0.0,45.33,1.0,True
AlB2,103360,static,-5.745,0.0,8.533,1.0,True
AlB2,103360,static_lda,-6.451,0.0,8.255,1.0,True
AlB2,51054,static,-5.744,0.0,8.529,1.0,True
AlB2,51054,static_lda,-6.451,0.0,8.254,1.0,True
AlB2,8221,static,-5.744,0.0,8.518,1.0,True
AlB2,8221,coarse_relax,-5.699,0.0,8.366,3.0,True
AlB2,8221,standard,-5.745,0.0,8.528,1.0,True
AlB2,8221,fine_relax,-5.738,0.0,8.528,3.0,True
AlB2,8221,static_lda,-6.451,0.0,8.253,1.0,True
AlB2,1589508,relaxation_0,-4.836,0.0,8.279,4.0,False
AlB2,1589508,relaxation,-4.827,0.0,8.269,3.0,True
AlB2,1589508,static,-4.835,0.0,8.269,1.0,True
AlB2,1238907,relaxation_0,-2.913,0.0,34.055,5.0,False
AlB2,1238907,relaxation_1,-3.363,0.0,37.771,3.0,False
AlB2,1238907,relaxation,-3.37,0.0,37.943,3.0,True
AlB2,1238907,static,-3.371,0.0,37.943,1.0,True
CdB2,1589541,relaxation_0,-3.105,0.0,11.432,3.0,False
CdB2,1589541,relaxation,-3.093,0.0,11.432,1.0,True
CdB2,1589541,static,-3.096,0.0,11.432,1.0,True
CdB2,1416181,relaxation_0,-2.867,0.0,13.511,3.0,False
CdB2,1416181,relaxation,-2.863,0.0,13.511,1.0,True
CdB2,1416181,static,-2.864,0.0,13.511,1.0,True
CdB2,1240745,relaxation_0,-0.607,0.0,26.48,6.0,False
CdB2,1240745,relaxation_1,-1.977,0.0,37.291,3.0,False
CdB2,1240745,relaxation_2,-2.088,0.0,41.485,3.0,False
CdB2,1240745,relaxation,-2.093,0.0,41.832,4.0,True
CdB2,1240745,static,-2.094,0.7,41.832,1.0,True
FeB2,28389,relaxation_1,,,,,True
FeB2,28389,relaxation,-7.273,0.0,7.212,3.0,True
FeB2,28389,standard,-7.276,0.0,7.267,1.0,True
FeB2,28389,fine_relax,-7.281,0.0,7.267,6.0,True
FeB2,28389,static,-7.277,0.0,7.212,1.0,True
FeB2,1589520,relaxation_0,-7.053,0.0,6.876,5.0,False
FeB2,1589520,relaxation,-7.038,0.0,6.854,4.0,True
FeB2,1589520,static,-7.041,0.0,6.854,1.0,True
FeB2,1231709,relaxation,-6.391,0.0,10.112,5.0,True
FeB2,1231709,static,-6.392,0.0,10.112,1.0,True
FeB2,1238776,relaxation_0,-4.908,0.0,20.206,5.0,False
FeB2,1238776,relaxation_1,-5.555,0.0,24.899,3.0,False
FeB2,1238776,relaxation,-5.572,0.0,25.166,3.0,True
FeB2,1238776,static,-5.572,0.0,25.166,1.0,True
KB2,1589513,relaxation_0,-3.002,0.0,13.186,3.0,False
KB2,1589513,relaxation,-2.998,0.0,13.085,3.0,True
KB2,1589513,static,-2.999,0.0,13.085,1.0,True
NB2,1450145,relaxation_0,-6.094,0.0,6.329,15.0,False
NB2,1450145,relaxation,-6.066,0.0,6.213,3.0,True
NB2,1450145,static,-6.065,0.0,6.213,1.0,True
NB2,1241351,relaxation,-5.52,0.0,12.4,3.0,True
NB2,1241351,static,-5.52,0.0,12.4,1.0,True
NB2,1231727,relaxation,-5.404,0.0,7.934,5.0,True
NB2,1231727,static,-5.401,0.0,7.934,1.0,True
NB2,1589503,relaxation_0,-4.797,0.0,6.736,7.0,False
NB2,1589503,relaxation,-4.775,0.0,6.651,3.0,True
NB2,1589503,static,-4.767,0.0,6.651,1.0,True
PtB2,1415544,relaxation_0,-5.947,0.0,11.043,4.0,False
PtB2,1415544,relaxation,-5.933,0.0,10.986,3.0,True
