Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgC,1243266,relaxation_0,-4.44,,10.646,7.0,False
AgC,1243266,relaxation_1,-4.492,0.0,10.463,9.0,False
AgC,1243266,relaxation_2,-4.953,0.0,13.539,9.0,False
AgC,1243266,relaxation_3,-5.038,0.0,14.652,7.0,False
AgC,1243266,relaxation,-5.054,0.0,15.373,5.0,True
AgC,1243266,static,-5.058,0.0,15.373,1.0,True
AgC,1243265,relaxation_0,-3.841,0.0,12.53,7.0,False
AgC,1243265,relaxation,-3.867,0.0,12.592,7.0,True
AgC,1243265,static,-3.867,0.0,12.592,1.0,True
AgC,1105504,relaxation,-3.796,0.0,12.592,3.0,True
AgC,1105504,static,-3.79,0.0,12.592,1.0,True
AgC,22368,static,-3.771,0.0,14.962,1.0,True
AgC,22368,coarse_relax,-3.793,0.0,14.54,3.0,True
AgC,22368,standard,-3.771,0.0,15.039,1.0,True
AgC,22368,fine_relax,-3.776,0.0,15.039,4.0,True
AgC,1218212,relaxation,-3.771,0.0,14.981,3.0,True
AgC,1218212,static,-3.771,0.0,14.981,1.0,True
AgC,327403,initialize,-3.515,0.0,12.923,1.0,True
AgC,327403,coarse_relax,-3.748,0.0,12.123,8.0,True
AgC,327403,fine_relax,-3.774,0.0,12.544,8.0,True
AgC,327403,standard,-3.779,0.0,12.544,1.0,True
AgC,327403,static,-3.765,0.0,12.413,1.0,True
AgC,327403,relaxation,-3.739,0.0,12.413,11.0,True
AgC,1227892,relaxation,-3.69,0.0,12.608,7.0,True
AgC,1227892,static,-3.727,0.0,12.608,1.0,True
AgC,306319,initialize,-3.73,0.0,12.923,1.0,True
AgC,306319,coarse_relax,-3.767,0.0,11.923,3.0,True
AgC,306319,fine_relax,-3.711,0.0,12.217,3.0,True
AgC,306319,standard,-3.707,0.0,12.217,1.0,True
AgC,306319,static,-3.707,0.0,12.248,1.0,True
AgC,306319,relaxation,-3.707,0.0,12.248,3.0,True
AgC,337861,initialize,-3.222,0.0,12.923,1.0,True
AgC,337861,coarse_relax,-3.392,0.0,11.832,8.0,True
AgC,337861,fine_relax,-3.705,0.0,12.187,6.0,True
AgC,337861,standard,-3.378,0.0,12.187,1.0,True
AgC,337861,static,-3.539,0.0,12.285,1.0,True
AgC,337861,relaxation,-3.681,0.0,12.285,5.0,True
BrC,1106691,relaxation,-2.776,0.0,15.078,3.0,True
BrC,1106691,static,-2.772,0.0,15.078,1.0,True
BrC,1234874,relaxation,-2.774,0.0,15.106,3.0,True
BrC,1234874,static,-2.772,0.0,15.106,1.0,True
BrC,1218833,relaxation,-2.63,0.0,20.934,3.0,True
BrC,1218833,static,-2.627,0.0,20.934,1.0,True
BrC,1228512,relaxation,-2.578,0.0,15.77,3.0,True
BrC,1228512,static,-2.576,0.0,15.77,1.0,True
BrC,307506,initialize,-2.169,0.0,20.683,1.0,True
BrC,307506,coarse_relax,-2.428,0.0,15.362,3.0,True
BrC,307506,fine_relax,-2.327,0.0,15.454,2.0,True
BrC,307506,standard,-2.319,0.0,15.454,1.0,True
BrC,307506,static,-2.318,0.0,15.312,1.0,True
BrC,307506,relaxation,-2.322,0.0,15.312,3.0,True
BrC,339048,initialize,-1.759,0.0,20.683,1.0,True
BrC,339048,coarse_relax,-2.245,0.0,15.035,11.0,True
BrC,339048,fine_relax,-2.325,0.0,15.379,3.0,True
BrC,339048,standard,-2.318,0.0,15.379,1.0,True
BrC,339048,static,-2.305,0.0,15.63,1.0,True
BrC,339048,relaxation,-2.081,0.0,15.63,3.0,True
FC,1228597,relaxation,-3.31,0.0,7.942,3.0,True
FC,1228597,static,-3.293,0.0,7.942,1.0,True
FC,327188,initialize,-2.988,0.0,12.426,1.0,True
FC,327188,coarse_relax,-4.29,0.0,7.959,9.0,True
FC,327188,fine_relax,-3.271,0.0,7.97,3.0,True
FC,327188,standard,-3.262,0.0,7.97,1.0,True
FC,327188,static,-3.271,0.0,8.071,1.0,True
