,Compound_ID,Energy_per_atom
0,AgC-13,-5.08467
1,BrC-12,-4.24663175
2,FC-28,-6.26302875
3,MnC-2,-8.96361275
4,NC-13,-8.484038125
5,RaC-14,-5.084722
6,SeC-30,-5.80556225
7,TeC-28,-5.6240076875
8,ZrC-4,-9.333577
9,AlC-2,-6.25829175
10,CaC-13,-5.58630075
11,FeC-2,-8.488701
12,KC-7,-4.9170469375
13,NiC-2,-6.93224325
14,RbC-4,-4.79667075
15,SiC-12,-7.16724225
16,TiC-26,-9.2291875
17,AsC-14,-6.30582025
18,CdC-28,-4.4344819375
19,GaC-2,-5.58181675
20,LaC-14,-7.251554
21,MoC-24,-9.7742655
22,OC-13,-7.38413975
23,RhC-1,-7.84137125
24,TlC-30,-5.2057733125
25,AuC-28,-5.448864
26,CeC-21,-7.0535935
27,GeC-14,-6.32944725
28,LiC-4,-5.56222
29,MoC-26,-9.757769999999999
30,PbC-28,-5.843874375
31,RuC-3,-8.79665675
32,SnC-14,-5.783534
33,VC-7,-9.318784375
34,BaC-17,-5.4606956875
35,CoC-10,-7.86595975
36,HfC-26,-10.33892675
37,LuC-19,-7.13474575
38,NaC-20,-5.038420125
39,PC-2,-6.95108025
40,SbC-28,-5.948594
41,SnC-6,-5.80431725
42,BC-8,-7.73689075
43,CrC-10,-9.26370775
44,HgC-28,-4.244328375
45,LuC-20,-7.13907525
46,NaC-4,-5.0417515
47,PdC-15,-6.564521875
48,SC-2,-6.1769345
49,SnC-9,-5.803398
50,WC-2,-10.879304
51,BeC-5,-6.145054
52,CsC-7,-4.7308510625
53,InC-3,-5.18015275
54,LuC-4,-7.13474575
55,NaC-7,-5.0418531875
56,ScC-13,-7.768870625
57,SrC-17,-5.37907775
58,YC-21,-8.069998
59,BiC-6,-5.70608425
60,CuC-10,-5.919149
61,IrC-24,-8.567469
62,MgC-26,-5.044219916666667
63,NbC-2,-10.122672
64,PtC-1,-7.12994425
65,TaC-2,-11.1191195
66,ZnC-15,-4.4930355
