Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgC2,1450278,relaxation_0,-3.838,0.0,9.791,7.0,False
AgC2,1450278,relaxation_1,-4.094,0.0,10.729,6.0,False
AgC2,1450278,relaxation_2,-4.789,0.0,9.983,25.0,False
AgC2,1450278,relaxation,-4.856,0.0,10.206,5.0,True
AgC2,1450278,static,-4.857,0.0,10.206,1.0,True
AgC2,1589612,relaxation_0,-4.031,0.0,10.825,3.0,False
AgC2,1589612,relaxation,-4.018,0.0,10.744,3.0,True
AgC2,1589612,static,-4.008,0.0,10.744,1.0,True
BiC2,1589645,relaxation,-4.26,0.0,14.15,3.0,True
BiC2,1589645,static,-4.257,0.0,14.15,1.0,True
CuC2,1450277,relaxation_0,-5.435,0.0,8.546,33.0,False
CuC2,1450277,relaxation,-5.419,0.0,8.48,3.0,True
CuC2,1450277,static,-5.415,0.0,8.48,1.0,True
CuC2,1589596,relaxation_0,-4.602,0.0,8.598,5.0,False
CuC2,1589596,relaxation,-4.589,0.0,8.522,3.0,True
CuC2,1589596,static,-4.575,0.0,8.522,1.0,True
IC2,1232092,relaxation,-3.151,0.0,14.625,3.0,True
IC2,1232092,static,-3.147,0.0,14.625,1.0,True
IC2,1589618,relaxation,-2.75,0.0,14.147,3.0,True
IC2,1589618,static,-2.744,0.0,14.147,1.0,True
LuC2,13888,static,-7.845,0.0,12.75,1.0,True
LuC2,13888,coarse_relax,-7.867,0.0,12.119,7.0,True
LuC2,13888,standard,-7.845,0.0,12.729,1.0,True
LuC2,13888,fine_relax,-7.847,,12.729,7.0,False
LuC2,13376,static,-7.845,0.0,12.75,1.0,True
LuC2,13376,coarse_relax,-7.867,0.0,12.119,7.0,True
LuC2,13376,standard,-7.845,0.0,12.698,1.0,True
LuC2,13376,fine_relax,-7.847,0.0,12.698,7.0,True
NiC2,1232106,relaxation,-6.003,0.0,9.52,4.0,True
NiC2,1232106,static,-6.0,0.0,9.52,1.0,True
NiC2,1238652,relaxation_0,-5.614,0.5,20.783,5.0,False
NiC2,1238652,relaxation,-5.766,0.5,21.662,6.0,True
NiC2,1238652,static,-5.768,0.7,21.662,1.0,True
NiC2,1589595,relaxation_0,-5.375,0.0,8.159,5.0,False
NiC2,1589595,relaxation,-5.365,0.0,7.999,3.0,True
NiC2,1589595,static,-5.358,0.0,7.999,1.0,True
RbC2,1589603,relaxation,-3.258,0.0,14.524,3.0,True
RbC2,1589603,static,-3.257,0.0,14.524,1.0,True
AlC2,1589582,relaxation_0,-4.806,0.0,9.145,4.0,False
AlC2,1589582,relaxation,-4.794,0.0,9.055,3.0,True
AlC2,1589582,static,-4.777,0.0,9.055,1.0,True
AlC2,1241307,relaxation_0,-4.245,0.0,26.87,5.0,False
AlC2,1241307,relaxation_1,-4.521,0.0,29.131,3.0,False
AlC2,1241307,relaxation,-4.532,0.0,29.341,3.0,True
AlC2,1241307,static,-4.533,0.0,29.341,1.0,True
BrC2,1589602,relaxation_0,-2.871,0.0,12.571,3.0,False
BrC2,1589602,relaxation,-2.864,0.0,12.456,3.0,True
BrC2,1589602,static,-2.859,0.0,12.456,1.0,True
BrC2,1238405,relaxation_0,-2.124,0.0,30.968,5.0,False
BrC2,1238405,relaxation_1,-2.282,0.0,35.435,3.0,False
BrC2,1238405,relaxation,-2.303,0.0,36.38,3.0,True
BrC2,1238405,static,-2.303,0.0,36.38,1.0,True
FC2,1589580,relaxation_0,-4.011,0.0,7.634,5.0,False
FC2,1589580,relaxation,-3.954,0.0,7.277,3.0,True
FC2,1589580,static,-3.93,0.0,7.277,1.0,True
FC2,1232083,relaxation,-3.792,0.0,10.05,9.0,True
FC2,1232083,static,-3.795,0.0,10.05,1.0,True
FC2,1416269,relaxation_0,-3.029,0.0,10.601,3.0,False
FC2,1416269,relaxation_1,-2.977,0.0,9.944,4.0,False
FC2,1416269,relaxation,-2.952,0.0,9.898,3.0,True
FC2,1416269,static,-2.944,0.0,9.898,1.0,True
FC2,1241262,relaxation_0,-2.125,0.0,20.647,4.0,False
FC2,1241262,relaxation_1,-2.421,0.0,23.01,3.0,False
FC2,1241262,relaxation,-2.508,0.0,24.082,3.0,True
FC2,1241262,static,-2.532,0.0,24.082,1.0,True
InC2,1415969,relaxation_0,-4.378,0.0,13.704,3.0,False
InC2,1415969,relaxation,-4.373,0.0,13.652,3.0,True
InC2,1415969,static,-4.368,0.0,13.652,1.0,True
InC2,1589614,relaxation_0,-4.009,0.0,12.221,3.0,False
