Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AlN,1224518,relaxation,-7.446,0.0,10.466,3.0,True
AlN,1224518,static,-7.443,4.3,10.466,1.0,True
AlN,1440386,relaxation_0,-7.475,4.8,10.629,7.0,False
AlN,1440386,relaxation,-7.447,0.0,10.466,3.0,True
AlN,1440386,static,-7.443,4.4,10.466,1.0,True
AlN,1473396,relaxation_0,-7.475,4.8,10.629,7.0,False
AlN,1473396,relaxation,-7.447,0.0,10.466,3.0,True
AlN,1473396,static,-7.443,4.4,10.466,1.0,True
AlN,5987,static,-7.443,4.5,10.439,1.0,True
AlN,5987,coarse_relax,-7.475,,9.842,3.0,False
AlN,5987,standard,-7.442,4.5,10.399,1.0,True
AlN,5987,fine_relax,-7.426,,10.399,4.0,False
AlN,5987,static_lda,-8.211,4.5,10.232,1.0,True
AlN,1218324,relaxation,-7.425,0.0,10.494,3.0,True
AlN,1218324,static,-7.422,3.5,10.494,1.0,True
AlN,1236344,relaxation,-7.414,0.0,10.451,3.0,True
AlN,1236344,static,-7.421,3.6,10.451,1.0,True
AlN,20758,relaxation,-7.321,4.2,9.746,3.0,True
AlN,20758,static,-7.327,3.6,9.746,1.0,True
AlN,20758,coarse_relax,-6.941,,8.704,4.0,False
AlN,20758,standard,-7.324,3.7,9.668,1.0,True
AlN,20758,fine_relax,-7.293,,9.668,4.0,False
AlN,20758,relaxation_lda,-8.122,4.0,9.546,3.0,True
AlN,20758,static_lda,-8.122,3.8,9.546,1.0,True
AlN,20759,relaxation,-7.317,4.1,9.736,7.0,True
AlN,20759,static,-7.326,3.5,9.736,1.0,True
AlN,20759,coarse_relax,-6.892,,8.498,4.0,False
AlN,20759,standard,-7.313,3.7,9.58,1.0,True
AlN,20759,fine_relax,-7.259,,9.58,12.0,False
AlN,20759,relaxation_lda,-8.122,4.1,9.544,3.0,True
AlN,20759,static_lda,-8.122,3.9,9.544,1.0,True
AlN,1104282,relaxation,-7.279,4.9,8.307,3.0,True
AlN,1104282,static,-7.272,4.6,8.307,1.0,True
AlN,1234797,relaxation,-7.276,4.9,8.295,3.0,True
AlN,1234797,static,-7.271,4.6,8.295,1.0,True
