,Compound_ID,Energy_per_atom
0,AlN-2,-7.329498
1,CeN-24,-7.7613365
2,FeN-1,-8.2738515
3,LiN-4,-5.42558925
4,NaN-3,-4.868837
5,SiN-14,-7.56253625
6,VN-22,-9.67595475
7,BaN-13,-5.5034945
8,CN-14,-8.46354075
9,HfN-24,-10.8942755
10,LuN-24,-60810840.0
11,NbN-26,-10.24643475
12,PtN-4,-6.6719575
13,BeN-5,-6.61118225
14,CoN-6,-7.53377075
15,InN-29,-5.4314875
16,MgN-27,-5.260148583333334
17,NiN-1,-6.7012235
18,RbN-14,-4.6952765
19,SrN-13,-5.422283625
20,WN-2,-10.72656575
21,BN-1,-8.787839
22,CrN-2,-9.29042525
23,MnN-29,-8.972179
24,PdN-18,-6.35866275
25,RhN-2,-7.4478055
26,TaN-15,-11.0110525
27,WN-24,-10.74287
28,CaN-7,-5.782882625
29,CsN-10,-4.68059525
30,KN-1,-4.740113
31,MoN-2,-9.8053905
32,PN-13,-6.83672475
33,RuN-1,-8.445648
34,TeN-15,-5.6618696875
35,YN-24,-9.0890175
36,CdN-13,-4.53416775
37,CuN-1,-5.8230725
38,LaN-2,-7.945013
39,MoN-29,-9.707454375
40,PN-24,-6.86303375
41,ScN-2,-9.145149
42,TiN-24,-9.8320885
43,ZrN-24,-10.1207975
