Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AlN2,1415674,relaxation_0,-6.136,0.0,9.182,3.0,False
AlN2,1415674,relaxation,-6.102,0.0,8.983,3.0,True
AlN2,1415674,static,-6.093,0.0,8.983,1.0,True
AlN2,1237730,relaxation_0,-5.487,0.0,23.005,4.0,False
AlN2,1237730,relaxation,-5.6,0.0,23.835,3.0,True
AlN2,1237730,static,-5.615,0.0,23.835,1.0,True
AlN2,1589655,relaxation_0,-4.559,0.0,9.711,3.0,False
AlN2,1589655,relaxation,-4.527,0.0,9.439,3.0,True
AlN2,1589655,static,-4.521,0.0,9.439,1.0,True
CoN2,1280973,relaxation,-7.632,0.0,7.8,5.0,True
CoN2,1280973,static,-7.615,0.0,7.8,1.0,True
CoN2,1589668,relaxation_0,-5.263,0.0,8.334,5.0,False
CoN2,1589668,relaxation,-5.301,0.0,8.389,3.0,True
CoN2,1589668,Co_lowspin_0,-5.264,0.0,8.255,5.0,False
CoN2,1589668,Co_lowspin,-5.23,0.0,8.093,3.0,True
CoN2,1589668,static_lowspin,-5.216,0.0,8.093,1.0,True
CoN2,1589668,static,-5.297,0.0,8.389,1.0,True
GaN2,1239211,relaxation_0,-4.451,0.0,24.595,4.0,False
GaN2,1239211,relaxation,-4.571,0.0,25.618,3.0,True
GaN2,1239211,static,-4.588,0.0,25.618,1.0,True
GaN2,1589672,relaxation_0,-4.116,0.0,10.358,3.0,False
GaN2,1589672,relaxation,-4.081,0.0,10.034,3.0,True
GaN2,1589672,static,-4.07,0.0,10.034,1.0,True
KN2,1589660,relaxation_0,-3.736,0.0,12.187,3.0,False
KN2,1589660,relaxation,-3.709,0.0,11.87,3.0,True
KN2,1589660,static,-3.705,0.0,11.87,1.0,True
MnN2,1439725,relaxation_0,-8.565,0.0,8.464,11.0,False
MnN2,1439725,relaxation,-8.559,0.0,8.426,5.0,True
MnN2,1439725,static,-8.556,0.0,8.426,1.0,True
MnN2,1280880,relaxation,-8.521,0.0,8.508,5.0,True
MnN2,1280880,static,-8.512,0.0,8.508,1.0,True
MnN2,1241338,relaxation_0,-8.166,0.0,19.514,4.0,False
MnN2,1241338,relaxation,-8.229,0.0,19.79,3.0,True
MnN2,1241338,static,-8.233,0.0,19.79,1.0,True
MnN2,1444113,relaxation,-8.204,0.0,8.618,9.0,True
MnN2,1444113,static,-8.207,0.0,8.618,1.0,True
MnN2,1589666,relaxation_0,-6.079,0.0,8.136,3.0,False
MnN2,1589666,relaxation_1,-6.201,0.0,8.582,3.0,False
MnN2,1589666,relaxation,-6.218,0.0,8.692,3.0,True
MnN2,1589666,static,-6.216,0.0,8.692,1.0,True
PN2,1233877,relaxation,-7.021,0.0,7.685,5.0,True
PN2,1233877,static,-7.018,0.0,7.685,1.0,True
PN2,1589657,relaxation_0,-4.375,0.0,9.592,3.0,False
PN2,1589657,relaxation,-4.341,0.0,9.353,3.0,True
PN2,1589657,static,-4.334,0.0,9.353,1.0,True
RuN2,1365868,relaxation,-8.39,0.0,11.193,5.0,True
RuN2,1365868,static,-8.382,0.0,11.193,1.0,True
RuN2,22994,static,-8.25,0.0,9.019,1.0,True
RuN2,22994,coarse_relax,-8.26,0.0,8.459,9.0,True
RuN2,22994,standard,-8.249,0.0,8.989,1.0,True
RuN2,22994,fine_relax,-8.235,,8.989,9.0,False
RuN2,1280992,relaxation,-7.96,0.0,9.432,5.0,True
RuN2,1280992,static,-7.966,0.0,9.432,1.0,True
RuN2,1241154,relaxation_0,-7.58,0.0,23.566,5.0,False
RuN2,1241154,relaxation,-7.762,0.0,24.422,3.0,True
RuN2,1241154,static,-7.774,0.0,24.422,1.0,True
RuN2,23732,relaxation,-7.758,0.0,8.511,5.0,True
RuN2,23732,static,-7.769,0.0,8.511,1.0,True
RuN2,23732,coarse_relax,-7.236,,7.519,7.0,False
RuN2,23732,standard,-7.764,0.0,8.419,1.0,True
RuN2,23732,fine_relax,-7.727,,8.419,11.0,False
RuN2,1233888,relaxation,-7.727,0.0,10.659,3.0,True
RuN2,1233888,static,-7.722,0.0,10.659,1.0,True
RuN2,1589683,relaxation_0,-5.882,0.0,9.305,3.0,False
RuN2,1589683,relaxation,-5.849,0.0,9.146,3.0,True
RuN2,1589683,static,-5.838,0.0,9.146,1.0,True
TiN2,1280902,relaxation,-8.648,0.0,9.521,3.0,True
TiN2,1280902,static,-8.645,0.0,9.521,1.0,True
TiN2,1233902,relaxation,-8.016,0.0,11.369,3.0,True
TiN2,1233902,static,-8.01,0.0,11.369,1.0,True
TiN2,1240915,relaxation_0,-7.434,0.0,26.118,5.0,False
TiN2,1240915,relaxation_1,-7.686,0.0,27.584,3.0,False
TiN2,1240915,relaxation,-7.707,0.0,27.761,3.0,True
TiN2,1240915,static,-7.709,0.0,27.761,1.0,True
TiN2,1589663,relaxation_0,-6.697,0.0,8.962,3.0,False
TiN2,1589663,relaxation,-6.664,0.0,8.784,3.0,True
TiN2,1589663,static,-6.652,0.0,8.784,1.0,True
ZnN2,1280996,relaxation,-5.526,0.0,10.05,6.0,True
ZnN2,1280996,static,-5.512,0.0,10.05,1.0,True
ZnN2,1233910,relaxation,-4.831,0.0,10.329,7.0,True
ZnN2,1233910,static,-4.827,0.0,10.329,1.0,True
ZnN2,1589671,relaxation_0,-3.579,0.0,9.604,4.0,False
ZnN2,1589671,relaxation,-3.543,0.0,9.326,3.0,True
ZnN2,1589671,static,-3.521,0.0,9.326,1.0,True
BeN2,1437957,relaxation_0,-6.986,0.0,6.785,18.0,False
BeN2,1437957,relaxation,-6.937,0.0,6.626,5.0,True
BeN2,1437957,static,-6.93,3.3,6.626,1.0,True
BeN2,1415830,relaxation_0,-5.473,0.0,7.229,4.0,False
BeN2,1415830,relaxation,-5.434,0.0,7.039,3.0,True
BeN2,1415830,static,-5.426,0.0,7.039,1.0,True
BeN2,1238682,relaxation,-5.027,0.0,16.049,3.0,True
BeN2,1238682,static,-5.021,0.0,16.049,1.0,True
BeN2,1589648,relaxation_0,-4.283,0.0,7.974,4.0,False
BeN2,1589648,relaxation,-4.25,0.0,7.782,3.0,True
BeN2,1589648,static,-4.221,0.0,7.782,1.0,True
CrN2,1482388,relaxation,-9.032,0.9,7.813,5.0,True
CrN2,1482388,static,-9.024,0.9,7.813,1.0,True
CrN2,1439722,relaxation_0,-8.783,0.0,8.555,9.0,False
CrN2,1439722,relaxation,-8.774,0.0,8.507,5.0,True
CrN2,1439722,static,-8.77,0.0,8.507,1.0,True
CrN2,1473590,relaxation_0,-8.487,0.0,7.447,6.0,False
CrN2,1473590,relaxation,-8.56,0.0,7.518,14.0,True
CrN2,1473590,static,-8.561,0.0,7.518,1.0,True
CrN2,1444110,relaxation_0,-8.509,0.0,7.496,7.0,False
CrN2,1444110,relaxation,-8.483,0.0,7.401,5.0,True
CrN2,1444110,static,-8.478,0.0,7.401,1.0,True
GeN2,1280994,relaxation,-6.816,0.0,8.666,5.0,True
GeN2,1280994,static,-6.809,2.5,8.666,1.0,True
GeN2,1239981,relaxation_0,-5.558,0.0,23.031,5.0,False
GeN2,1239981,relaxation,-5.587,0.0,23.125,3.0,True
GeN2,1239981,static,-5.589,0.0,23.125,1.0,True
GeN2,1589673,relaxation_0,-4.543,0.0,10.756,3.0,False
GeN2,1589673,relaxation,-4.508,0.0,10.451,3.0,True
GeN2,1589673,static,-4.499,0.0,10.451,1.0,True
LaN2,1368607,relaxation,-8.115,0.0,14.452,9.0,True
LaN2,1368607,static,-8.106,0.0,14.452,1.0,True
LaN2,1589695,relaxation_0,-6.22,0.0,12.53,3.0,False
LaN2,1589695,relaxation,-6.194,0.0,12.342,3.0,True
LaN2,1589695,static,-6.187,0.0,12.342,1.0,True
LaN2,1239280,relaxation_0,-5.788,0.0,35.496,5.0,False
LaN2,1239280,relaxation_1,-6.064,0.0,38.859,3.0,False
LaN2,1239280,relaxation,-6.104,0.0,39.69,3.0,True
LaN2,1239280,static,-6.112,0.3,39.69,1.0,True
MoN2,1369810,relaxation,-9.456,1.3,9.524,3.0,True
MoN2,1369810,static,-9.451,1.1,9.524,1.0,True
MoN2,1239596,relaxation_0,-8.985,0.0,24.744,5.0,False
MoN2,1239596,relaxation,-9.183,0.0,25.644,3.0,True
MoN2,1239596,static,-9.197,0.3,25.644,1.0,True
MoN2,1361000,static,-9.151,0.8,25.931,1.0,True
MoN2,1361000,relaxation,-9.152,0.0,25.931,27.0,True
MoN2,1473726,relaxation_0,-9.194,0.0,9.186,15.0,False
MoN2,1473726,relaxation,-9.156,0.0,9.06,5.0,True
MoN2,1473726,static,-9.15,0.0,9.06,1.0,True
