,Compound_ID,Energy_per_atom
0,AlN2-37,-7.197955333333333
1,CoN2-9,-7.707251833333333
2,GaN2-9,-6.3226249999999995
3,KN2-28,-6.064406000000001
4,MnN2-4,-8.551123
5,PN2-23,-6.91472975
6,RuN2-12,-8.254459666666667
7,TiN2-7,-8.935622666666667
8,ZnN2-30,-5.649921
9,BeN2-32,-6.904132833333333
10,CrN2-13,-9.026944
11,GeN2-12,-6.7334045
12,LaN2-17,-8.107905666666666
13,MoN2-2,-9.228371000000001
14,ScN2-2,-8.420019833333333
15,VN2-30,-8.950429666666667
16,ZrN2-36,-9.170424166666667
17,BN2-4,-8.069129833333333
18,CsN2-36,-5.99683525
19,HfN2-17,-9.768218
20,LiN2-1,-6.430153166666667
21,NaN2-13,-6.089025666666667
22,PtN2-37,-7.239464000000001
23,SiN2-8,-7.861143916666666
24,CaN2-32,-6.750575833333333
25,CuN2-17,-6.518884
26,IrN2-11,-8.273897333333332
27,NbN2-17,-9.2351695
28,RaN2-4,-6.3944106666666665
29,WN2-35,-9.949727000000001
30,CeN2-15,-7.861876666666666
31,FeN2-30,-8.199322666666667
32,MgN2-30,-6.280478333333334
33,NiN2-30,-7.217537666666666
34,RbN2-28,-6.009307
35,SrN2-4,-6.622203666666667
36,YN2-25,-8.508060666666667
