Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgO,1371732,relaxation,-4.002,0.0,14.879,3.0,True
AgO,1371732,static,-3.987,0.0,14.879,1.0,True
AgO,8207,static,-3.937,0.0,13.459,1.0,True
AgO,8207,coarse_relax_1,-4.131,,11.616,20.0,False
AgO,8207,coarse_relax,-3.895,0.0,11.155,13.0,True
AgO,8207,standard,-3.925,0.0,13.031,1.0,True
AgO,8207,fine_relax_1,-3.841,,12.471,20.0,False
AgO,8207,fine_relax,-3.914,0.0,13.031,9.0,True
AgO,5373,static,-3.936,0.0,13.324,1.0,True
AgO,5373,coarse_relax_1,-4.134,,11.65,20.0,False
AgO,5373,coarse_relax,-3.902,0.0,11.149,13.0,True
AgO,5373,standard,-3.897,0.0,12.573,1.0,True
AgO,5373,fine_relax,-3.843,,12.573,14.0,False
AgO,5376,static,-3.936,0.0,13.234,1.0,True
AgO,5376,coarse_relax_2,-2301.266,,11.246,20.0,False
AgO,5376,coarse_relax_1,-4.134,,11.62,20.0,False
AgO,5376,coarse_relax,-3.827,0.0,10.991,19.0,True
AgO,5376,standard,-3.933,0.0,13.193,1.0,True
AgO,5376,fine_relax_2,-3.906,,12.901,20.0,False
AgO,5376,fine_relax_1,-3.826,,12.363,20.0,False
AgO,5376,fine_relax,-3.934,0.0,13.193,10.0,True
AgO,31162,static,-3.933,0.0,13.376,1.0,True
AgO,31162,standard,-3.894,0.0,12.557,1.0,True
AgO,31162,fine_relax,-3.842,0.0,12.557,26.0,True
AgO,1104967,relaxation,-3.862,0.0,12.54,3.0,True
AgO,1104967,static,-3.847,0.0,12.54,1.0,True
AgO,326866,initialize,-2.842,0.0,18.476,1.0,True
AgO,326866,coarse_relax,-4.2,0.0,11.761,9.0,True
AgO,326866,fine_relax,-3.802,0.0,12.208,5.0,True
AgO,326866,standard,-3.821,0.0,12.208,1.0,True
AgO,326866,static,-3.843,0.0,12.498,1.0,True
AgO,326866,relaxation,-3.847,0.0,12.498,5.0,True
AgO,1745279,static,-3.804,0.0,14.664,1.0,True
AgO,1745279,relaxation,-3.816,0.0,14.664,7.0,True
AgO,1743110,static,-3.799,0.0,14.49,1.0,True
AgO,1743110,relaxation,-3.808,0.0,14.49,7.0,True
AgO,1227929,relaxation,-3.693,0.0,12.543,5.0,True
AgO,1227929,static,-3.692,0.0,12.543,1.0,True
AgO,1218249,relaxation,-3.692,0.0,15.74,3.0,True
AgO,1218249,static,-3.68,0.0,15.74,1.0,True
AgO,6628,relaxation,-3.675,0.0,15.599,3.0,True
AgO,6628,static,-3.676,0.0,15.599,1.0,True
AgO,6628,coarse_relax,-3.644,0.0,13.568,3.0,True
AgO,6628,standard,-3.664,0.0,15.257,1.0,True
AgO,6628,fine_relax,-3.622,,15.257,4.0,False
AgO,1741841,static,-3.676,0.0,14.807,1.0,True
AgO,1741841,relaxation,-3.667,0.0,14.807,3.0,True
AgO,305782,initialize,-3.1,0.0,18.476,1.0,True
AgO,305782,coarse_relax,-4.143,0.0,11.822,4.0,True
AgO,305782,fine_relax,-3.576,0.0,11.701,2.0,True
AgO,305782,standard,-3.552,0.0,11.701,1.0,True
AgO,305782,static,-3.554,0.0,11.775,1.0,True
AgO,305782,relaxation,-3.568,0.0,11.775,3.0,True
AgO,337324,initialize,-2.905,0.0,18.476,1.0,True
AgO,337324,coarse_relax,-4.054,0.0,11.489,8.0,True
AgO,337324,fine_relax,-3.559,0.0,11.686,4.0,True
AgO,337324,standard,-3.547,0.0,11.686,1.0,True
AgO,337324,static,-3.264,0.0,11.843,1.0,True
AgO,337324,relaxation,-3.407,0.0,11.843,4.0,True
BaO,1343705,relaxation,-5.922,0.0,21.574,4.0,True
BaO,1343705,static,-5.91,2.2,21.574,1.0,True
BaO,1105129,relaxation,-5.922,0.0,21.514,3.0,True
BaO,1105129,static,-5.909,2.1,21.514,1.0,True
