,Compound_ID,Energy_per_atom
0,AgO-7,-3.99143
1,BaO-12,-5.9131235
2,CdO-2,-3.95310575
3,CrO-10,-8.68794075
4,GeO-13,-5.807417
5,LuO-10,-7.719111
6,NbO-1,-9.2458855
7,RuO-3,-7.604573375
8,TaO-1,-10.3140065
9,YO-12,-8.595694875
10,AlO-5,-6.6838145
11,BeO-29,-7.1024485
12,CdO-24,-3.9557767
13,CsO-4,-3.9127325
14,HfO-6,-9.8872725
15,KO-4,-4.08546275
16,MgO-12,-5.982692
17,NiO-13,-5.754573625
18,PtO-7,-5.7427115
19,SiO-12,-6.89050775
20,TiO-15,-8.8169175
21,ZnO-29,-4.5429011
22,AsO-15,-5.572552
23,BiO-7,-5.376374
24,CeO-12,-7.522138125
25,CuO-7,-5.11996875
26,HgO-2,-2.809551
27,KO-7,-4.0779576875
28,MnO-3,-8.021984625
29,PbO-2,-5.40889325
30,RaO-24,-5.448516
31,TlO-2,-4.26097325
32,ZrO-22,-9.089390833333333
33,AsO-2,-5.54991925
34,BO-5,-7.62392475
35,CO-20,-7.5119225
36,FeO-3,-7.459572375
37,InO-5,-5.17900625
38,LaO-12,-7.787713375
39,MoO-18,-9.159869
40,PdO-2,-5.1227105
41,RbO-7,-3.94904075
42,SnO-2,-5.64607025
43,VO-1,-8.686037
44,AuO-7,-4.04534125
45,CaO-24,-6.449678
46,CoO-14,-6.6654615
47,GaO-5,-5.523262
48,IrO-1,-7.00467375
49,LiO-28,-4.8444826875
50,NaO-7,-4.1966666875
51,PO-24,-6.2258625625
52,RhO-7,-6.59985975
53,SrO-24,-6.051803
