Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgO2,1589760,relaxation_0,-3.089,0.0,11.226,3.0,False
AgO2,1589760,relaxation,-3.039,0.0,10.776,3.0,True
AgO2,1589760,static,-3.021,0.0,10.776,1.0,True
BiO2,14331,coarse_relax_1,-5.914,,12.264,20.0,False
BiO2,14331,coarse_relax,-5.615,,11.649,19.0,False
BiO2,14331,standard,-5.605,1.5,13.305,1.0,True
BiO2,14331,fine_relax_1,-359.974,,27.18,9.0,False
BiO2,14331,fine_relax,-5.531,,13.305,14.0,False
BiO2,14331,static,-5.647,1.4,14.052,1.0,True
BiO2,646993,standard,-5.521,0.0,13.308,1.0,True
BiO2,646993,static,-5.534,0.0,13.665,1.0,True
BiO2,646993,fine_relax,-5.497,0.0,13.308,4.0,True
BiO2,1239431,relaxation_0,-4.596,0.0,30.546,5.0,False
BiO2,1239431,relaxation_1,-5.321,0.0,34.628,4.0,False
BiO2,1239431,relaxation,-5.411,0.0,35.682,3.0,True
BiO2,1239431,static,-5.416,0.2,35.682,1.0,True
BiO2,1589795,relaxation_0,-3.885,0.0,13.315,3.0,False
BiO2,1589795,relaxation,-3.859,0.0,13.173,5.0,True
BiO2,1589795,static,-3.851,0.0,13.173,1.0,True
CoO2,1441002,relaxation_0,-5.744,0.0,8.597,35.0,False
CoO2,1441002,relaxation,-5.703,0.0,8.413,9.0,True
CoO2,1441002,Co_lowspin_0,-5.744,0.0,8.587,37.0,False
CoO2,1441002,Co_lowspin,-5.703,0.0,8.395,7.0,True
CoO2,1441002,static_lowspin,-5.685,0.0,8.395,1.0,True
CoO2,1441002,static,-5.686,0.0,8.413,1.0,True
CoO2,1439837,relaxation_0,-5.725,0.0,8.73,8.0,False
CoO2,1439837,relaxation,-5.695,0.0,8.562,5.0,True
CoO2,1439837,Co_lowspin_0,-5.725,0.0,8.734,8.0,False
CoO2,1439837,Co_lowspin,-5.696,0.0,8.572,9.0,True
CoO2,1439837,static,-5.678,0.0,8.562,1.0,True
CoO2,1441198,relaxation_0,-5.72,0.0,8.546,17.0,False
CoO2,1441198,relaxation,-5.688,0.0,8.392,9.0,True
CoO2,1441198,Co_lowspin_0,-5.72,0.0,8.57,13.0,False
CoO2,1441198,Co_lowspin,-5.658,0.0,8.348,11.0,True
CoO2,1441198,static,-5.673,0.0,8.392,1.0,True
CoO2,15701,coarse_relax,-5.985,,7.972,12.0,False
CoO2,15701,standard,-5.532,0.0,8.607,1.0,True
CoO2,15701,fine_relax,-5.505,,8.607,6.0,False
CoO2,15701,static,-5.628,0.6,9.581,1.0,True
CoO2,16426,relaxation_1,-5.736,0.0,13.414,14.0,False
CoO2,16426,relaxation_2,-5.726,0.0,11.303,10.0,False
CoO2,16426,relaxation_3,-5.701,0.0,10.633,9.0,False
CoO2,16426,relaxation,-5.683,0.0,10.412,9.0,True
CoO2,16426,fine_relax,-5.637,0.8,10.159,10.0,True
CoO2,16426,Co_lowspin_1,-5.731,0.0,17.522,23.0,False
CoO2,16426,Co_lowspin_2,-5.734,0.0,13.763,17.0,False
CoO2,16426,Co_lowspin_3,-5.727,0.0,11.935,17.0,False
CoO2,16426,Co_lowspin_4,-5.712,0.0,10.886,13.0,False
CoO2,16426,Co_lowspin,-5.69,0.0,10.62,7.0,True
CoO2,16426,static,-5.561,0.0,10.62,1.0,True
CoO2,1281001,relaxation,-5.412,0.0,8.35,3.0,True
CoO2,1281001,static,-5.464,0.7,8.35,1.0,True
CoO2,1239227,relaxation_0,-4.589,0.0,17.557,5.0,False
CoO2,1239227,relaxation_1,-5.291,0.0,20.01,4.0,False
CoO2,1239227,relaxation,-5.388,0.0,20.716,3.0,True
CoO2,1239227,Co_lowspin_0,-4.589,0.0,17.564,5.0,False
CoO2,1239227,Co_lowspin_1,-5.155,0.0,19.291,4.0,False
CoO2,1239227,Co_lowspin,-5.215,0.0,19.728,3.0,True
CoO2,1239227,static,-5.397,0.0,20.716,1.0,True
CoO2,1741718,Co_lowspin_0,-5.411,0.0,12.499,14.0,False
CoO2,1741718,relaxation,-5.395,0.0,12.234,9.0,True
CoO2,1741718,Co_lowspin,-5.395,0.0,12.166,13.0,True
CoO2,1741718,static_lowspin,-5.316,0.0,12.166,1.0,True
CoO2,1741718,static,-5.371,0.0,12.234,1.0,True
CoO2,1440472,relaxation_0,-5.24,0.0,9.768,4.0,False
CoO2,1440472,relaxation,-5.187,0.0,9.417,3.0,True
CoO2,1440472,Co_lowspin_0,-5.476,0.0,9.019,3.0,False
CoO2,1440472,Co_lowspin,-5.428,0.0,8.6,3.0,True
CoO2,1440472,static,-5.259,0.0,8.6,1.0,True
CoO2,78494,relaxation_1,-4.937,0.0,11.236,26.0,False
CoO2,78494,relaxation_2,-5.069,0.0,12.062,5.0,False
CoO2,78494,relaxation,-5.184,0.0,11.778,13.0,True
CoO2,78494,Co_lowspin_1,-4.986,0.0,13.215,24.0,False
CoO2,78494,Co_lowspin_2,-5.134,0.0,12.211,23.0,False
CoO2,78494,Co_lowspin,-5.202,0.0,11.707,14.0,True
CoO2,78494,static,-4.992,0.0,11.707,1.0,True
CoO2,1589741,relaxation_0,15.315,0.0,62.099,8.0,False
CoO2,1589741,relaxation_1,-0.173,0.0,96.098,14.0,False
CoO2,1589741,relaxation_2,-1.637,0.0,101.281,10.0,False
CoO2,1589741,relaxation_3,-3.953,0.0,9.699,8.0,False
CoO2,1589741,relaxation_4,-3.89,0.0,9.198,3.0,False
CoO2,1589741,relaxation,-3.87,0.0,9.083,3.0,True
CoO2,1589741,Co_lowspin_0,-3.937,0.0,9.579,5.0,False
