,Compound_ID,Energy_per_atom
0,AgO2-9,-4.214350666666667
1,BiO2-32,-5.6407315
2,CoO2-36,-6.555106083333333
3,GaO2-17,-5.616541166666667
4,IrO2-9,-7.0369265
5,NbO2-32,-9.096574166666667
6,RuO2-35,-7.3550745
7,SnO2-9,-6.282499666666666
8,VO2-9,-8.550832
9,ZrO2-25,-9.452646166666666
10,AlO2-17,-6.7868509999999995
11,BO2-36,-7.104178833333333
12,CrO2-12,-8.219186166666667
13,GeO2-12,-6.411620833333333
14,MgO2-8,-5.531680833333334
15,NiO2-30,-5.8159643333333335
16,PtO2-12,-5.780875833333333
17,SbO2-32,-5.8919516666666665
18,SrO2-4,-5.7879863333333335
19,AsO2-22,-5.837091999999999
20,CaO2-4,-5.961440333333333
21,CsO2-3,-4.390650666666667
22,HfO2-35,-10.154043666666666
23,KO2-34,-4.51113625
24,MnO2-35,-7.7293345
25,PbO2-2,-5.100080166666666
26,RaO2-28,-5.521078333333333
27,ScO2-2,-8.1798495
28,TaO2-35,-9.831012333333334
29,WO2-37,-9.147283666666667
30,AuO2-15,-4.2002188333333335
31,CdO2-8,-4.140956666666667
32,CuO2-12,-4.8843811666666666
33,HgO2-30,-3.344397666666667
34,LaO2-17,-7.877186833333333
35,MoO2-15,-8.734954499999999
36,PdO2-4,-5.3589389999999995
37,RbO2-3,-4.416439
38,SiO2-22,-7.791148
39,TeO2-32,-5.381606333333333
40,YO2-17,-8.407427166666666
41,BaO2-12,-5.788937
42,CeO2-17,-7.666099666666667
43,FeO2-35,-7.270736333333333
44,InO2-37,-5.377778333333333
45,LiO2-12,-4.873157916666666
46,NaO2-14,-4.525415833333333
47,PO2-32,-6.5429959166666665
48,RhO2-35,-6.4831113333333334
49,TiO2-37,-8.885318833333333
50,ZnO2-8,-4.458222
