Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AlP,1218332,relaxation,-5.184,1.8,20.826,1.0,True
AlP,1218332,static,-5.189,1.8,20.826,1.0,True
AlP,4641,static,-5.189,1.8,20.804,1.0,True
AlP,4641,coarse_relax,-5.161,1.4,20.637,3.0,True
AlP,4641,standard,-5.189,1.7,20.915,1.0,True
AlP,4641,fine_relax,-5.184,1.5,20.915,2.0,True
AlP,4641,static_lda,-5.707,1.6,20.071,1.0,True
AlP,12371,static,-5.185,2.1,20.803,1.0,True
AlP,12371,coarse_relax,-5.156,1.7,20.631,3.0,True
AlP,12371,standard,-5.185,2.1,20.818,1.0,True
AlP,12371,fine_relax,-5.18,1.6,20.818,3.0,True
AlP,12371,static_lda,-5.703,1.9,20.068,1.0,True
AlP,1224526,relaxation,-5.18,0.0,20.795,3.0,True
AlP,1224526,static,-5.185,2.1,20.795,1.0,True
AlP,1472803,relaxation_0,-4.921,0.0,16.15,17.0,False
AlP,1472803,relaxation,-4.931,0.0,16.191,3.0,True
AlP,1472803,static,-4.938,0.0,16.191,1.0,True
AlP,1472931,relaxation_0,-4.902,0.0,16.136,20.0,False
AlP,1472931,relaxation,-4.931,0.0,16.2,3.0,True
AlP,1472931,static,-4.938,0.0,16.2,1.0,True
AlP,1742623,static,-4.919,0.0,16.193,1.0,True
AlP,1742623,relaxation,-4.91,0.0,16.193,7.0,True
AlP,1105854,relaxation,-4.889,0.0,16.254,1.0,True
AlP,1105854,static,-4.897,0.0,16.254,1.0,True
AlP,1108222,relaxation_0,-4.604,0.0,16.599,54.0,False
AlP,1108222,relaxation,-4.613,0.0,16.62,5.0,True
AlP,1108222,static,-4.62,0.0,16.62,1.0,True
AlP,1217546,relaxation,-4.459,0.0,15.019,5.0,True
AlP,1217546,static,-4.467,0.0,15.019,1.0,True
AlP,338211,initialize,-3.805,0.0,22.426,1.0,True
AlP,338211,coarse_relax,-4.394,0.0,15.128,9.0,True
AlP,338211,fine_relax,-4.441,0.0,15.093,2.0,True
AlP,338211,standard,-4.444,0.0,15.093,1.0,True
AlP,338211,static,-4.446,0.0,15.105,1.0,True
AlP,338211,relaxation,-4.433,0.0,15.105,3.0,True
AlP,306669,initialize,-3.965,0.0,22.426,1.0,True
AlP,306669,coarse_relax,-4.467,0.0,15.206,3.0,True
AlP,306669,fine_relax,-4.444,0.0,15.084,2.0,True
AlP,306669,standard,-4.445,0.0,15.084,1.0,True
AlP,306669,static,-4.445,0.0,15.121,1.0,True
AlP,306669,relaxation,-4.437,0.0,15.121,3.0,True
AlP,327753,initialize,-3.841,0.0,22.426,1.0,True
AlP,327753,coarse_relax,-4.873,0.0,16.149,30.0,True
AlP,327753,fine_relax,-4.893,0.0,16.254,3.0,True
AlP,327753,standard,-4.897,0.0,16.254,1.0,True
AlP,327753,static,-4.443,0.0,15.17,1.0,True
AlP,327753,relaxation,-4.435,0.0,15.17,3.0,True
AlP,1228012,relaxation,-4.271,0.0,15.334,5.0,True
AlP,1228012,static,-4.282,0.0,15.334,1.0,True
CdP,1108230,relaxation_0,-2.895,0.0,20.739,60.0,False
CdP,1108230,relaxation,-3.015,0.0,19.967,20.0,True
CdP,1108230,static,-3.027,0.0,19.967,1.0,True
CdP,1106633,relaxation,-2.891,0.0,20.2,3.0,True
CdP,1106633,static,-2.893,0.0,20.2,1.0,True
CdP,1219088,relaxation,-2.838,0.0,25.273,3.0,True
CdP,1219088,static,-2.847,0.0,25.273,1.0,True
CdP,328532,initialize,-2.244,0.0,24.862,1.0,True
CdP,328532,coarse_relax,-3.275,0.0,18.061,10.0,True
CdP,328532,fine_relax,-2.627,0.0,18.742,4.0,True
CdP,328532,standard,-2.632,0.0,18.742,1.0,True
CdP,328532,static,-2.787,0.0,18.877,1.0,True
CdP,328532,relaxation,-2.727,0.0,18.877,18.0,True
CdP,338990,initialize,-2.273,0.0,24.862,1.0,True
CdP,338990,coarse_relax,-3.32,0.0,18.217,9.0,True
CdP,338990,fine_relax,-2.32,0.0,17.916,8.0,True
CdP,338990,standard,-2.437,0.0,17.916,1.0,True
CdP,338990,static,-2.69,0.0,19.21,1.0,True
CdP,338990,relaxation,-2.688,0.0,19.21,3.0,True
CdP,307448,initialize,-2.269,0.0,24.862,1.0,True
CdP,307448,coarse_relax,-3.314,0.0,18.221,5.0,True
CdP,307448,fine_relax,-2.658,0.0,18.968,3.0,True
CdP,307448,standard,-2.665,0.0,18.968,1.0,True
CdP,307448,static,-2.668,0.0,19.232,1.0,True
CdP,307448,relaxation,-2.665,0.0,19.232,3.0,True
CdP,1228767,relaxation,-2.625,0.0,18.997,3.0,True
CdP,1228767,static,-2.628,0.0,18.997,1.0,True
CuP,1753852,static,-4.442,0.0,13.521,1.0,True
CuP,1753852,relaxation,-4.423,0.0,13.521,9.0,True
CuP,1108235,relaxation_0,-4.414,0.0,14.663,35.0,False
CuP,1108235,relaxation,-4.405,0.0,14.217,15.0,True
CuP,1108235,static,-4.407,0.0,14.217,1.0,True
CuP,328668,initialize,-3.487,0.0,20.012,1.0,True
CuP,328668,coarse_relax,-4.685,0.0,13.051,9.0,True
CuP,328668,fine_relax,-4.342,0.0,13.32,6.0,True
CuP,328668,standard,-4.351,0.0,13.32,1.0,True
CuP,328668,static,-4.357,0.0,13.603,1.0,True
CuP,328668,relaxation,-4.352,0.0,13.603,4.0,True
CuP,1106769,relaxation,-4.338,0.0,14.331,1.0,True
CuP,1106769,static,-4.343,0.0,14.331,1.0,True
CuP,1222201,relaxation,-4.264,0.0,17.5,4.0,True
CuP,1222201,static,-4.269,0.0,17.5,1.0,True
CuP,1229172,relaxation,-4.187,0.0,13.236,5.0,True
CuP,1229172,static,-4.194,0.0,13.236,1.0,True
CuP,339126,initialize,-2.89,0.0,20.012,1.0,True
CuP,339126,coarse_relax,-4.301,0.0,12.679,7.0,True
CuP,339126,fine_relax,-3.921,0.0,13.123,5.0,True
CuP,339126,standard,-3.929,0.0,13.123,1.0,True
CuP,339126,static,-4.172,0.0,13.373,1.0,True
CuP,339126,relaxation,-4.17,0.0,13.373,3.0,True
CuP,307584,initialize,-3.47,0.0,20.012,1.0,True
CuP,307584,coarse_relax,-4.536,0.0,13.473,9.0,True
CuP,307584,fine_relax,-4.165,0.0,13.503,4.0,True
CuP,307584,standard,-4.162,0.0,13.503,1.0,True
