,Compound_ID,Energy_per_atom
0,AlP-2,-4.99339125
1,CdP-2,-3.15896525
2,CuP-5,-4.76679175
3,MnP-10,-7.6528545
4,RuP-2,-7.782305
5,TaP-10,-9.24013
6,YP-2,-7.565592
7,AuP-1,-4.3252225
8,CeP-24,-6.586107
9,GaP-2,-4.34185675
10,KP-30,-3.6696695625
11,MoP-10,-8.55793375
12,ScP-26,-7.21867875
13,TeP-30,-3.8560011875
14,ZnP-2,-3.4730725
15,BaP-22,-4.667173333333333
16,CoP-24,-6.623016875
17,HfP-24,-8.9127915
18,LaP-2,-6.745675
19,NaP-30,-3.748941
20,PtP-1,-6.2485195
21,SiP-25,-5.5706541666666665
22,TiP-24,-7.7432245
23,ZrP-24,-7.164935833333334
24,BeP-5,-6.74484625
25,CP-10,-6.9991275
26,InP-12,-4.059101625
27,LiP-30,-4.1892870625
28,NbP-24,-8.50050875
29,RaP-4,-4.2124945
30,VP-24,-7.82172525
31,BP-24,-6.33924125
32,CrP-10,-7.85751725
33,IrP-14,-7.3745075
34,NiP-8,-5.8439255
35,RbP-30,-3.5583743125
36,SnP-2,-4.70465235
37,CaP-27,-4.798668833333333
38,CsP-28,-3.517661875
39,IrP-2,-7.37450925
40,MgP-2,-3.9564225
41,PdP-2,-5.6360285
42,RhP-8,-6.91764375
43,SrP-27,-4.597260416666667
44,WP-24,-9.46853125
