Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AlP2,1590183,relaxation_0,-4.318,0.0,15.764,3,False
AlP2,1590183,relaxation,-4.324,0.0,15.798,3,True
AlP2,1590183,static,-4.331,0.0,15.798,1,True
AlP2,1240585,relaxation_0,-3.719,0.0,46.807,5,False
AlP2,1240585,relaxation,-3.819,0.0,47.894,3,True
AlP2,1240585,static,-3.826,0.0,47.894,1,True
CoP2,6978,coarse_relax,-6.471,,11.906,10,False
CoP2,6978,fine_relax,-6.479,,12.861,21,False
CoP2,6978,standard,-6.503,0.5,12.861,1,True
CoP2,6978,static,-6.505,0.5,12.956,1,True
CoP2,1281025,relaxation,-6.281,0.0,13.235,3,True
CoP2,1281025,static,-6.287,0.0,13.235,1,True
CoP2,1590195,relaxation_0,-5.145,0.0,13.285,4,False
CoP2,1590195,relaxation,-5.139,0.0,13.309,3,True
CoP2,1590195,Co_lowspin_0,-5.127,0.0,12.934,3,False
CoP2,1590195,Co_lowspin,-5.12,0.0,12.852,3,True
CoP2,1590195,static_lowspin,-5.125,0.0,12.852,1,True
CoP2,1590195,static,-5.142,0.0,13.309,1,True
GaP2,1590199,relaxation_0,-4.107,0.0,16.44,5,False
GaP2,1590199,relaxation,-4.128,0.0,16.788,3,True
GaP2,1590199,static,-4.138,0.0,16.788,1,True
LiP2,1590174,relaxation_0,-4.184,0.0,15.379,3,False
LiP2,1590174,relaxation,-4.197,0.0,15.538,3,True
LiP2,1590174,static,-4.223,0.0,15.538,1,True
LiP2,1237280,relaxation_0,-2.432,0.0,34.303,3,False
LiP2,1237280,relaxation_1,-2.578,0.0,38.144,3,False
LiP2,1237280,relaxation,-2.596,0.0,38.89,3,True
LiP2,1237280,static,-2.603,0.0,38.89,1,True
PbP2,1450405,relaxation_0,-4.676,0.0,24.126,60,False
PbP2,1450405,relaxation_1,-4.717,0.0,23.222,60,False
PbP2,1450405,relaxation,-4.719,0.0,23.442,9,True
PbP2,1450405,static,-4.725,0.0,23.442,1,True
PbP2,1590247,relaxation_0,-4.27,0.0,19.396,4,False
PbP2,1590247,relaxation,-4.321,0.0,20.232,3,True
PbP2,1590247,static,-4.321,0.0,20.232,1,True
RuP2,1800,static,-7.275,0.5,14.708,1,True
RuP2,1800,coarse_relax,-7.229,0.4,14.331,3,True
RuP2,1800,standard,-7.275,0.6,14.74,1,True
RuP2,1800,fine_relax,-7.267,0.4,14.74,4,True
RuP2,1735349,static,-6.948,0.0,14.399,1,True
RuP2,1735349,relaxation,-6.939,0.0,14.399,29,True
RuP2,1735401,static,-6.946,0.0,14.526,1,True
RuP2,1735401,relaxation,-6.938,0.0,14.526,7,True
RuP2,1417071,relaxation,-6.854,0.0,15.165,3,True
RuP2,1417071,static,-6.864,0.0,15.165,1,True
RuP2,1280975,relaxation,-6.822,0.0,15.577,3,True
RuP2,1280975,static,-6.828,0.0,15.577,1,True
RuP2,1590211,relaxation_0,-5.893,0.0,13.534,3,False
RuP2,1590211,relaxation,-5.889,0.0,13.534,1,True
RuP2,1590211,static,-5.895,0.0,13.534,1,True
SP2,1473072,relaxation_0,-4.854,0.3,21.784,60,False
SP2,1473072,relaxation_1,-4.954,0.7,23.756,30,False
SP2,1473072,relaxation,-4.966,0.6,24.422,9,True
SP2,1473072,static,-4.976,0.8,24.422,1,True
SP2,1473917,relaxation_0,-4.59,,17.741,36,False
SP2,1473917,relaxation_1,-4.707,0.0,20.321,27,False
SP2,1473917,relaxation_2,-4.74,0.0,21.941,28,False
SP2,1473917,relaxation,-4.753,0.0,22.543,11,True
SP2,1473917,static,-4.762,0.0,22.543,1,True
SP2,1474275,relaxation_0,-4.472,0.0,18.872,60,False
SP2,1474275,relaxation_1,-4.571,,18.988,27,False
SP2,1474275,relaxation_2,-4.454,0.0,17.286,60,False
SP2,1474275,relaxation_3,-4.74,0.0,18.914,28,False
SP2,1474275,relaxation,-4.75,0.0,19.219,9,True
SP2,1474275,static,-4.755,0.0,19.219,1,True
SP2,1726369,relaxation_0,-4.218,0.0,16.911,3,False
SP2,1726369,relaxation,-4.241,0.0,17.079,3,True
SP2,1726369,static,-4.245,0.0,17.079,1,True
SP2,1234189,relaxation,-4.085,0.0,19.267,3,True
SP2,1234189,static,-4.092,0.0,19.267,1,True
SP2,1590185,relaxation_0,-4.023,0.0,15.154,3,False
SP2,1590185,relaxation,-4.029,0.0,15.194,3,True
SP2,1590185,static,-4.038,0.0,15.194,1,True
BaP2,1590222,relaxation_0,-4.508,0.0,22.429,3,False
BaP2,1590222,relaxation,-4.545,0.0,22.659,3,True
BaP2,1590222,static,-4.547,0.0,22.659,1,True
CP2,1281018,relaxation,-5.379,0.0,21.227,14,True
CP2,1281018,static,-5.376,0.0,21.227,1,True
CP2,1590177,relaxation_0,-4.339,0.0,12.869,3,False
CP2,1590177,relaxation,-4.335,0.0,12.83,3,True
CP2,1590177,static,-4.325,0.0,12.83,1,True
HfP2,1436037,relaxation_0,-7.863,0.0,16.437,30,False
HfP2,1436037,relaxation,-7.845,0.0,16.384,3,True
HfP2,1436037,static,-7.853,0.0,16.384,1,True
HfP2,1416240,relaxation_0,-7.151,0.0,19.708,5,False
HfP2,1416240,relaxation,-7.204,0.0,19.921,3,True
HfP2,1416240,static,-7.21,0.0,19.921,1,True
HfP2,1590237,relaxation_0,-6.798,0.0,15.794,3,False
HfP2,1590237,relaxation,-6.806,0.0,15.794,1,True
HfP2,1590237,static,-6.815,0.0,15.794,1,True
HfP2,1241049,relaxation_0,-6.096,0.0,54.91,5,False
HfP2,1241049,relaxation_1,-6.439,0.0,60.276,3,False
HfP2,1241049,relaxation,-6.445,0.0,60.369,3,True
HfP2,1241049,static,-6.449,0.0,60.369,1,True
LuP2,1236971,relaxation_0,-4.149,0.0,69.81,4,False
LuP2,1236971,relaxation,-4.337,0.0,72.999,3,True
LuP2,1236971,static,-4.342,0.0,72.999,1,True
PdP2,49089,static,-5.763,0.5,17.045,1,True
PdP2,21138,static,-5.762,0.4,16.912,1,True
PdP2,21138,coarse_relax,-5.773,,14.764,12,False
PdP2,21138,standard,-5.757,0.4,16.663,1,True
PdP2,21138,fine_relax,-5.732,,16.663,7,False
PdP2,1280879,relaxation,-5.709,0.0,15.971,3,True
PdP2,1280879,static,-5.713,0.3,15.971,1,True
PdP2,1520525,relaxation_0,-5.499,0.0,16.077,60,False
PdP2,1520525,relaxation,-5.487,0.0,16.074,5,True
PdP2,1520525,static,-5.493,0.0,16.074,1,True
PdP2,1590213,relaxation_0,-4.836,0.0,15.041,3,False
PdP2,1590213,relaxation,-4.839,0.0,15.067,3,True
PdP2,1590213,static,-4.84,0.0,15.067,1,True
SbP2,1449807,relaxation_0,-4.546,0.0,20.045,18,False
SbP2,1449807,relaxation,-4.546,0.0,20.015,3,True
SbP2,1449807,static,-4.551,0.0,20.015,1,True
SbP2,1590218,relaxation_0,-4.271,0.0,18.368,3,False
SbP2,1590218,relaxation,-4.286,0.0,18.393,3,True
SbP2,1590218,static,-4.288,0.0,18.393,1,True
SrP2,1590205,relaxation_0,-4.43,0.0,20.227,3,False
SrP2,1590205,relaxation,-4.463,0.0,20.497,3,True
SrP2,1590205,static,-4.465,0.0,20.497,1,True
WP2,6883,static,-8.306,0.0,14.849,1,True
WP2,6883,coarse_relax,-8.263,0.0,14.496,7,True
WP2,6883,standard,-8.306,0.0,14.837,1,True
WP2,6883,fine_relax,-8.292,0.0,14.837,4,True
WP2,1472573,relaxation_0,-8.29,0.0,14.833,12,False
WP2,1472573,relaxation,-8.278,0.0,14.804,3,True
WP2,1472573,static,-8.291,0.0,14.804,1,True
WP2,6884,static,-8.291,0.0,14.808,1,True
WP2,6884,coarse_relax,-8.246,0.0,14.463,3,True
WP2,6884,standard,-8.291,0.0,14.813,1,True
WP2,6884,fine_relax,-8.278,0.0,14.813,4,True
WP2,1741928,static,-8.007,0.0,15.808,1,True
WP2,1741928,relaxation,-7.99,0.0,15.808,43,True
WP2,1472798,relaxation_0,-7.831,0.0,18.435,15,False
WP2,1472798,relaxation,-7.952,0.0,18.897,9,True
WP2,1472798,static,-7.963,0.0,18.897,1,True
WP2,1590239,relaxation,-7.013,0.0,13.86,3,True
WP2,1590239,static,-7.022,0.0,13.86,1,True
BeP2,2118,coarse_relax,-5.14,0.5,15.533,13,True
BeP2,2118,fine_relax,-5.171,0.5,15.802,4,True
BeP2,2118,standard,-5.179,0.9,15.802,1,True
BeP2,2118,static,-5.179,0.9,15.814,1,True
BeP2,1415676,relaxation,-4.48,0.0,13.91,3,True
BeP2,1415676,static,-4.487,0.0,13.91,1,True
BeP2,1590175,relaxation,-3.884,0.0,13.684,3,True
BeP2,1590175,static,-3.904,0.0,13.684,1,True
BeP2,1237735,relaxation_0,-3.691,0.0,32.89,4,False
BeP2,1237735,relaxation,-3.738,0.0,33.504,3,True
BeP2,1237735,static,-3.739,0.0,33.504,1,True
CrP2,2222,static,-7.205,0.0,12.625,1,True
CrP2,2222,coarse_relax,-7.164,0.0,12.224,5,True
CrP2,2222,standard,-7.205,0.0,12.632,1,True
CrP2,2222,fine_relax,-7.199,0.0,12.632,4,True
CrP2,1750802,static,-7.18,0.0,12.854,1,True
CrP2,1750802,relaxation,-7.172,0.0,12.854,3,True
CrP2,1590192,relaxation_0,-6.06,0.0,15.242,3,False
CrP2,1590192,relaxation,-6.063,0.0,15.242,1,True
CrP2,1590192,static,-6.061,0.0,15.242,1,True
InP2,1590216,relaxation_0,-3.989,0.0,18.354,3,False
InP2,1590216,relaxation,-4.016,0.0,18.88,3,True
InP2,1590216,static,-4.018,0.0,18.88,1,True
MgP2,289878,relaxation_0,-4.326,0.0,23.629,60,False
MgP2,289878,relaxation,-4.356,0.0,23.954,17,True
MgP2,289878,static,-4.362,0.0,23.954,1,True
MgP2,289698,relaxation_0,-4.271,0.0,20.334,40,False
MgP2,289698,relaxation,-4.281,0.0,20.409,7,True
MgP2,289698,static,-4.286,0.0,20.409,1,True
MgP2,290013,relaxation_0,-3.836,0.0,15.636,16,False
MgP2,290013,relaxation_1,-4.259,0.0,17.287,25,False
MgP2,290013,relaxation,-4.267,0.0,17.424,7,True
MgP2,290013,static,-4.271,0.0,17.424,1,True
MgP2,289923,relaxation_0,-4.212,0.0,17.126,54,False
MgP2,289923,relaxation,-4.248,0.0,17.125,21,True
MgP2,289923,static,-4.257,0.0,17.125,1,True
MgP2,290238,relaxation_0,-4.212,0.0,17.162,31,False
MgP2,290238,relaxation,-4.248,0.0,17.122,21,True
MgP2,290238,static,-4.257,0.0,17.122,1,True
MgP2,290058,relaxation_0,-4.256,0.0,17.167,35,False
MgP2,290058,relaxation,-4.251,0.0,17.102,3,True
MgP2,290058,static,-4.256,0.0,17.102,1,True
MgP2,290103,relaxation_0,-4.247,0.0,18.441,50,False
MgP2,290103,relaxation,-4.24,0.0,18.413,3,True
MgP2,290103,static,-4.246,0.0,18.413,1,True
MgP2,289968,relaxation_0,-4.227,0.0,18.58,60,False
