Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgS,1736031,static,-3.492,0.0,22.683,1.0,True
AgS,1736031,relaxation,-3.489,0.0,22.683,3.0,True
AgS,1105225,relaxation,-3.392,0.0,18.536,4.0,True
AgS,1105225,static,-3.391,0.0,18.536,1.0,True
AgS,1234793,relaxation,-3.387,0.0,18.42,7.0,True
AgS,1234793,static,-3.39,0.0,18.42,1.0,True
AgS,1218263,relaxation,-3.315,0.0,23.205,4.0,True
AgS,1218263,static,-3.316,0.0,23.205,1.0,True
AgS,1224457,relaxation,-3.306,0.0,23.133,3.0,True
AgS,1224457,static,-3.307,0.0,23.133,1.0,True
AgS,1227943,relaxation,-3.232,0.0,19.089,7.0,True
AgS,1227943,static,-3.24,0.0,19.089,1.0,True
AgS,337582,initialize,-2.608,0.0,21.402,1.0,True
AgS,337582,coarse_relax,-3.259,0.0,16.322,7.0,True
AgS,337582,fine_relax,-3.102,0.0,17.677,7.0,True
AgS,337582,standard,-2.903,0.0,17.677,1.0,True
AgS,337582,static,-3.108,0.0,17.744,1.0,True
AgS,337582,relaxation,-3.109,0.0,17.744,3.0,True
AgS,306040,initialize,-2.883,0.0,21.402,1.0,True
AgS,306040,coarse_relax,-3.561,0.0,16.557,6.0,True
AgS,306040,fine_relax,-3.11,0.0,17.747,3.0,True
AgS,306040,standard,-3.102,0.0,17.747,1.0,True
AgS,306040,static,-3.102,0.0,17.798,1.0,True
AgS,306040,relaxation,-3.103,0.0,17.798,1.0,True
BS,1480979,relaxation,-5.802,2.5,15.832,3.0,True
BS,1480979,static,-5.807,2.7,15.832,1.0,True
BS,1218582,relaxation,-4.727,0.0,11.401,3.0,True
BS,1218582,static,-4.734,0.0,11.401,1.0,True
BS,1104193,relaxation,-4.606,0.0,10.566,3.0,True
BS,1104193,static,-4.608,0.0,10.566,1.0,True
BS,1234841,relaxation,-4.605,0.0,10.552,3.0,True
BS,1234841,static,-4.608,0.0,10.552,1.0,True
BS,1228261,relaxation,-4.33,0.0,10.65,3.0,True
BS,1228261,static,-4.332,0.0,10.65,1.0,True
BS,305007,initialize,-3.216,0.0,16.71,1.0,True
BS,305007,coarse_relax,-3.683,0.0,10.774,4.0,True
BS,305007,fine_relax,-3.64,0.0,10.74,2.0,True
BS,305007,standard,-3.635,0.0,10.74,1.0,True
BS,305007,static,-3.635,0.0,10.801,1.0,True
