Material,ID,Configuration,Total energy [eV/atom],Band gap [eV],Volume [Å3/atom],# of ionic steps,Converged
AgS2,1368688,relaxation,-3.641,0.0,22.454,3.0,True
AgS2,1368688,static,-3.648,1.6,22.454,1.0,True
AgS2,1590290,relaxation_0,-2.879,0.0,17.715,3.0,False
AgS2,1590290,relaxation,-2.915,0.0,18.344,3.0,True
AgS2,1590290,static,-2.913,0.0,18.344,1.0,True
AgS2,1240888,relaxation_0,-2.017,0.0,42.402,6.0,False
AgS2,1240888,relaxation_1,-2.571,0.0,51.257,3.0,False
AgS2,1240888,relaxation,-2.609,0.0,53.032,3.0,True
AgS2,1240888,static,-2.6,0.0,53.032,1.0,True
BS2,1239586,relaxation_0,-4.358,0.0,27.849,3.0,False
BS2,1239586,relaxation,-4.375,0.0,28.104,3.0,True
BS2,1239586,static,-4.378,0.0,28.104,1.0,True
BS2,1590252,relaxation_0,-2.95,0.0,16.061,3.0,False
BS2,1590252,relaxation,-2.954,0.0,16.173,3.0,True
BS2,1590252,static,-2.948,0.0,16.173,1.0,True
CuS2,29770,static,-4.091,0.0,16.397,1.0,True
CuS2,29770,standard,-4.085,0.0,16.02,1.0,True
CuS2,29770,fine_relax,-4.051,0.0,16.02,8.0,True
CuS2,647162,standard,-4.084,0.0,15.904,1.0,True
CuS2,647162,static,-4.088,0.0,16.224,1.0,True
CuS2,647162,fine_relax,-4.053,0.0,15.904,5.0,True
CuS2,1757377,static,-4.007,1.0,18.245,1.0,True
CuS2,1757377,relaxation,-3.999,0.0,18.245,3.0,True
CuS2,1590273,relaxation_0,-2.942,0.0,16.133,4.0,False
CuS2,1590273,relaxation,-2.964,0.0,16.45,5.0,True
CuS2,1590273,static,-2.969,0.0,16.45,1.0,True
IrS2,14556,coarse_relax,-6.055,0.0,16.167,25.0,True
IrS2,14556,fine_relax,-6.085,,16.992,8.0,False
IrS2,14556,standard,-6.098,0.6,16.992,1.0,True
IrS2,14556,static,-6.098,0.7,17.038,1.0,True
IrS2,14556,relaxation_lda,-7.094,0.0,16.242,27.0,True
IrS2,14556,static_lda,-7.094,0.6,16.242,1.0,True
IrS2,1343785,relaxation,-6.053,0.0,16.896,3.0,True
IrS2,1343785,static,-6.059,0.0,16.896,1.0,True
IrS2,1440317,relaxation_0,-5.962,,17.987,23.0,False
IrS2,1440317,relaxation,-6.006,0.0,18.416,35.0,True
IrS2,1440317,static,-6.017,0.0,18.416,1.0,True
IrS2,1473933,relaxation_0,-6.015,0.0,16.903,10.0,False
IrS2,1473933,relaxation,-5.998,0.0,16.827,3.0,True
IrS2,1473933,static,-6.003,0.0,16.827,1.0,True
IrS2,1707577,static,-5.986,0.0,15.762,1.0,True
IrS2,1707577,relaxation,-5.98,0.0,15.762,3.0,True
IrS2,31339,relaxation,-5.98,0.0,15.755,3.0,True
IrS2,31339,static,-5.986,0.0,15.755,1.0,True
IrS2,31339,standard,-5.986,0.0,15.759,1.0,True
IrS2,31339,fine_relax,-5.983,0.0,15.759,5.0,True
IrS2,31339,relaxation_lda,-7.026,0.0,15.041,9.0,True
