,Compound_ID,Energy_per_atom
0,AgS2-9,-3.703390666666667
1,BS2-36,-4.960096
2,CuS2-9,-4.219141666666666
3,IrS2-9,-6.003249333333333
4,MnS2-12,-6.291448583333334
5,PS2-33,-4.581918333333333
6,ScS2-1,-6.193269833333333
7,TiS2-1,-6.662372666666666
8,AlS2-17,-4.792870166666667
9,CaS2-9,-4.727730666666667
10,FeS2-8,-6.0701271666666665
11,IS2-9,-3.0704266666666666
12,MoS2-1,-6.958213166666667
13,SeS2-26,-3.6329483333333332
14,TlS2-18,-3.624465333333333
15,AsS2-1,-4.249512999999999
16,CdS2-9,-3.3599395
17,FS2-38,-3.924869791666667
18,NaS2-34,-3.7023200833333334
19,PtS2-1,-5.123690666666667
20,SiS2-12,-5.2192135833333335
21,VS2-13,-6.569633333333333
22,AuS2-8,-3.721311833333333
23,CeS2-32,-6.021773333333333
24,GaS2-17,-4.160246666666667
25,KS2-32,-3.7644948333333335
26,NbS2-1,-7.100673666666666
27,RaS2-9,-4.521214333333334
28,BaS2-1,-4.661086333333333
29,ClS2-38,-3.439831625
30,GeS2-22,-4.541005
31,LaS2-31,-6.104599
32,NiS2-8,-4.851752666666667
33,RbS2-32,-3.7209361666666667
34,SnS2-35,-4.279968
35,WS2-1,-7.5972463333333335
36,BeS2-4,-4.438355166666667
37,CoS2-8,-5.4522917500000005
38,HfS2-1,-7.652803666666667
39,LiS2-32,-3.8966631666666665
40,NS2-3,-4.915094666666667
41,RhS2-36,-5.560388333333333
42,SrS2-9,-4.659364
43,YS2-17,-6.635642833333333
44,BiS2-1,-4.138768333333333
45,CrS2-13,-6.584174999999999
46,HgS2-9,-2.8194055000000002
47,LuS2-8,-5.625242583333333
48,PbS2-8,-4.289718583333333
49,RuS2-8,-6.364773499999999
50,TaS2-13,-7.7541443333333335
51,ZnS2-8,-3.5412553333333334
52,BrS2-38,-3.2869143333333333
53,CsS2-31,-3.653074333333333
54,InS2-1,-3.8789293333333332
55,MgS2-9,-4.162863833333334
56,PdS2-8,-4.679967416666667
57,SbS2-30,-4.219213666666667
58,TeS2-31,-3.6485598333333336
59,ZrS2-31,-7.119492999999999
